label,cell,family,ladder,rung,physical_position,charge,spin_odd,rung_pair,leg_pair_right
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,33,33,0.9320394767691431,6.502918531547941e-06,-0.03377113747979271,0.018393823518584512
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,34,34,0.9320803601276992,8.457964092739578e-06,-0.03373883848449438,0.018368484892116944
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,35,35,0.9321327200610314,7.6214220644660324e-06,-0.03368039973609411,0.01833181078478282
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,36,36,0.9321478767737699,6.71032965081364e-06,-0.03360717408916434,0.018291111447338387
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,37,37,0.9320717355082425,1.0222938110204804e-05,-0.03353554244990425,0.01825670016179174
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,38,38,0.9318651598956089,3.479044582685442e-06,-0.033485322388230265,0.018239339618875517
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,39,39,0.9315220988873975,1.4018938915158485e-05,-0.03347577071509155,0.018248693975711962
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,40,40,0.9310875043666751,-4.688982309791756e-07,-0.03352206887485466,0.01829059094201936
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,41,41,0.9306596253800475,1.7614880317304293e-05,-0.0336278597107666,0.018362466845408154
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,42,42,0.9303810303809135,-3.7992047122320516e-06,-0.033782565285681715,0.018454297140170647
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,43,43,0.9304162991228591,1.901058412813461e-05,-0.033954218013528374,0.01854266967473229
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,44,44,0.9309031350482404,-3.47541861013545e-06,-0.03409182063780486,0.018594599320458392
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,45,45,0.9319040382131665,1.6462649208473512e-05,-0.03412979587040013,0.018574801134095483
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,46,46,0.9333533266341767,1.7084917083437512e-06,-0.03399921977258403,0.018443416655390028
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,47,47,0.9350058314149943,8.704113670252034e-06,-0.03364634013123914,0.018188522104235234
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,48,48,0.9364537953122829,8.15478598981123e-06,-0.033062271439859,0.017809830876197426
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,49,49,0.9371896709723523,-5.134477122845094e-06,-0.03227801990353377,0.01734890373666611
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,50,50,0.9367147694488003,2.5228188354792236e-05,-0.03143960020229489,0.016931243879658164
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,51,51,0.9346938065562695,-2.3281229834470896e-05,-0.03070265150345075,0.01657012641485527
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,52,52,0.9310683863922435,2.910262876744396e-05,-0.03019460946603217,0.01640254353794828
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,53,53,0.9264011935974686,-2.238806723051101e-05,-0.030181661951096665,0.016581914222165428
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,54,54,0.9214419781571652,2.356353883828377e-05,-0.030657291491953204,0.016905851340194324
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,55,55,0.9173891845784254,-1.2768734500470669e-05,-0.031554158031102175,0.01753857754318027
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,56,56,0.9163321948948906,-8.65249011149094e-06,-0.03271067433118921,0.01808247335338214
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,57,57,0.9187483526534903,2.8129702515575228e-05,-0.033610197618416215,0.0184728248177631
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,58,58,0.9254682566984932,-3.5203189031010607e-05,-0.03397666474614534,0.0183666885022145
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,59,59,0.9374235892836427,2.6562027351503814e-05,-0.03241910192371049,0.016574121155711143
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,60,60,0.9513636111053851,-2.3730825023896007e-05,-0.02962153843544789,0.0155788601902471
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,61,61,0.9656186541829566,1.9575094517526592e-05,-0.025654669739751834,0.012084645471091868
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,62,62,0.9797866438000944,-9.575065198372257e-06,-0.017327674009486458,0.006431235655879657
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,63,63,0.9900043029199339,6.281585101214349e-06,-0.01185912042824009,0.006860172212521104
trellis__one_ladder__pairing_eps005_chi200_raw60,one_ladder,pairing,A,64,64,0.995958980436694,-4.050006904968151e-06,-0.006362419544670067,
trellis__two_ladder__stripe_eps005_chi200_raw60,two_ladder,stripe,A,1,1,1.0004825737433476,-0.13173361922154903,4.646397753776087e-12,-3.746626984653584e-12
