label,cell,family,ladder,cell_sweep,energy_per_site,spin_rms,pair_rms,charge_std,density,global_relative,dmrg_last_sweep_delta
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,38,-0.5188203264643456,1.1730430619629667e-05,0.017968796112329495,0.005652346084179862,0.9374952035951778,1.2594206411625236e-05,2.0766498209923157e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,39,-0.5188203261640373,1.2339538518504224e-05,0.017968766623064434,0.00565275297695797,0.9374950412269438,5.5683292189415114e-06,1.3093040251987986e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,40,-0.5188202993385159,1.3005872039568076e-05,0.017968763890199486,0.005652742755202337,0.9374952951147993,1.19719873751612e-05,1.822723447730823e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,41,-0.5188203365882299,1.3053210189887375e-05,0.017968771373204826,0.005652727193451025,0.937494901245365,1.1955618753398565e-05,6.307857347565005e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,42,-0.5188203274270008,1.3363472672933389e-05,0.017968801848959083,0.0056526542440795205,0.9374952805671615,1.0158583623329182e-05,5.72328588077653e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,43,-0.5188203355276895,1.3818040980502604e-05,0.01796882334553266,0.005652364752953345,0.9374952731835382,1.6196067132264027e-05,6.996191359576187e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,44,-0.5188203260574746,1.3578319217363527e-05,0.01796880988694266,0.005652589770613872,0.9374952486395987,1.4283457515838313e-05,4.725154667539755e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,45,-0.5188203279549722,1.3956437665385683e-05,0.01796880171092304,0.005652625349199223,0.937495144349012,3.316331337888053e-06,1.3956065458842204e-07
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,46,-0.5188203499862265,1.4226846038549159e-05,0.01796873999747141,0.005652934530853456,0.9374949068128743,1.587429428361985e-05,9.172828185910475e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,47,-0.5188203316633162,1.4026721649770466e-05,0.017968793884527844,0.005652508872333624,0.9374952352994272,1.2676396293740513e-05,2.0033041892020265e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,48,-0.5188203354383255,1.3633714493747687e-05,0.017968778685144512,0.005652630057356485,0.9374950891207142,8.415733009522234e-06,2.766205398074817e-08
trellis__one_ladder__stripe_eps005_chi200_raw60,one_ladder,stripe,A,49,-0.5188203064228231,1.4096331744546534e-05,0.01796870961707574,0.005652604854132397,0.937495342662081,1.3766099061522604e-05,2.830721541613457e-07
