lineage,L,rung,inserted,pair_d,charge_even,staggered_spin_odd
pairing,96,77,False,0.0044393308898093235,-0.00470138163876908,2.958363187488284e-07
pairing,96,78,False,0.0044326143052852394,-0.004662016507429928,4.507092657549984e-07
pairing,96,79,False,0.00441095980701001,-0.0046098649284384155,6.048961223754923e-07
pairing,96,80,False,0.00437163750332346,-0.0045557164022270915,7.478907226075946e-07
pairing,96,81,False,0.0043158988291746555,-0.004516657775210868,8.629402030696075e-07
pairing,96,82,False,0.004250533251056572,-0.004513571422948259,9.369917205596153e-07
pairing,96,83,False,0.004188302042201701,-0.004566083293253672,9.534350636278537e-07
pairing,96,84,False,0.004146466565999653,-0.004685521025335523,8.975850681206075e-07
pairing,96,85,False,0.004143056505752031,-0.004867455218429488,7.558152535361903e-07
pairing,96,86,False,0.00419126953677957,-0.0050855167758107975,5.16803291522594e-07
pairing,96,87,False,0.004292653848838822,-0.005288415851103524,1.821554444060916e-07
pairing,96,88,False,0.004429811347452259,-0.005401855796265277,-2.461610848060545e-07
pairing,96,89,False,0.004560753752927823,-0.005337021565137276,-7.568960745797486e-07
pairing,96,90,False,0.004619193643179337,-0.005008077157348571,-1.3174539187125415e-06
pairing,96,91,False,0.004519277277489322,-0.004362040310127473,-1.8697695538002872e-06
pairing,96,92,False,0.0041593951022008396,-0.003426322388711659,-2.3311307712556425e-06
pairing,96,93,False,0.0034781039147291515,-0.002346963796589427,-2.606141876677231e-06
pairing,96,94,False,0.0025935705549394172,-0.0013519247094619293,-2.616897122330894e-06
pairing,96,95,False,0.0016316340280260236,-0.0006251198361646724,-2.353458528442452e-06
pairing,96,96,False,0.001131473066957696,-0.00018762817493287224,-1.5958608043151377e-06
pairing,128,1,False,0.0011314956419706786,-0.00018759541801320674,1.071379020589508e-07
pairing,128,2,False,0.0016316694965727288,-0.0006250516560869213,1.5695552826021104e-07
pairing,128,3,False,0.0025936462135968713,-0.0013518426810173287,1.7270164010950873e-07
pairing,128,4,False,0.003478227223087462,-0.002346903445499155,1.6966736857203062e-07
pairing,128,5,False,0.004159550309151344,-0.0034262801606496345,1.513691867060466e-07
pairing,128,6,False,0.004519450960908709,-0.004362004710136575,1.2453038306342416e-07
pairing,128,7,False,0.0046193691267476895,-0.005008039272348868,9.737571599619313e-08
pairing,128,8,False,0.0045609153316341884,-0.005336971232304706,7.589893371304571e-08
pairing,128,9,False,0.004429957224242406,-0.005401799145859023,6.895677367156107e-08
pairing,128,10,False,0.004292788590187634,-0.00528835770691283,7.20011187258212e-08
pairing,128,11,False,0.00419139187439096,-0.005085449998265117,7.583098443771606e-08
pairing,128,12,False,0.004143162048303197,-0.004867399340051556,8.472067621100379e-08
pairing,128,13,False,0.004146559259359715,-0.0046854911781776445,8.489209386646455e-08
pairing,128,14,False,0.004188376592461653,-0.004566079212871081,7.59471079595387e-08
pairing,128,15,False,0.004250582959855005,-0.004513601836850646,6.061657806862714e-08
pairing,128,16,False,0.004315929558550634,-0.004516714208681763,4.1331864542460545e-08
pairing,128,17,False,0.0043716557845500156,-0.0045557879943256725,2.078087951826353e-08
pairing,128,18,False,0.004410973556454721,-0.0046099433850542056,1.6398248557647488e-09
pairing,128,19,False,0.004432623959223869,-0.004662090087200268,-2.1742421219776015e-08
pairing,128,20,False,0.004439329644132689,-0.004701438078013047,-3.0379489601457116e-08
pairing,128,21,False,0.004435868075578589,-0.004723775065028172,-4.263955667369035e-08
pairing,128,22,False,0.004427353360756852,-0.00473013946533053,-3.985536701557081e-08
pairing,128,23,False,0.004418046461019076,-0.004724766253963935,-3.5168393562991576e-08
pairing,128,24,False,0.004410751511253014,-0.004713047949480605,-2.7093254643907258e-08
pairing,128,25,False,0.004406762938882573,-0.004699936330579494,-2.1076813665242902e-08
pairing,128,26,False,0.004406145145839142,-0.004688988135108679,-1.3537379121115675e-08
pairing,128,27,False,0.0044081716386289395,-0.0046820345794506375,-1.2805406999312138e-08
pairing,128,28,False,0.004411775167681115,-0.004679329882375828,-1.553186242705777e-08
pairing,128,29,False,0.004415879597122799,-0.0046799823808568695,-2.5095283185923647e-08
pairing,128,30,False,0.004419615681902534,-0.004682491343652473,-4.1126970384613645e-08
pairing,128,31,False,0.004422391083938947,-0.004685259651526649,-6.46844168590479e-08
pairing,128,32,False,0.004423854842839596,-0.00468699915155033,-9.31371419452074e-08
pairing,128,33,True,0.004423777635806685,-0.004686996651466047,-1.2604162627645986e-07
pairing,128,34,True,0.004421918001462554,-0.004685280134667591,-1.5905388593240137e-07
pairing,128,35,True,0.004418705244875304,-0.004683061585770186,-1.783691993206219e-07
pairing,128,36,True,0.00441533573116403,-0.004682160453751451,-1.8395982225504967e-07
pairing,128,37,True,0.004413368872016791,-0.004683220439941515,-1.6204472612271065e-07
pairing,128,38,True,0.004412975459425986,-0.0046849922937746875,-1.4591608044458096e-07
pairing,128,39,True,0.004413523590993106,-0.0046857993917389824,-1.2043644035102802e-07
pairing,128,40,True,0.004413890528829553,-0.004685667867008199,-1.245076977492935e-07
pairing,128,41,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,42,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,43,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,44,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,45,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,46,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,47,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,48,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,49,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,50,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,51,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,52,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,53,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,54,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,55,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,56,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,57,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,58,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,59,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,60,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,61,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,62,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,63,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,64,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,65,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,66,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,67,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,68,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,69,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,70,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,71,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,72,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,73,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,74,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,75,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,76,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,77,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,78,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,79,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,80,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,81,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,82,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,83,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,84,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,85,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,86,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,87,True,0.004413958913062094,-0.004685634408323064,-1.1452217064857745e-07
pairing,128,88,True,0.004413958913062094,-0.004685636081763954,-1.2432859503442965e-07
pairing,128,89,True,0.004413890433902551,-0.0046856661335114794,-1.143148858162666e-07
pairing,128,90,True,0.0044135231863519486,-0.004685799558044112,-1.1892541853641275e-07
pairing,128,91,True,0.0044129753315260666,-0.00468498641742906,-9.621254012243119e-08
pairing,128,92,True,0.004413370468641358,-0.0046832143278977495,-8.254765986146113e-08
pairing,128,93,True,0.004415338471697797,-0.004682152914727703,-5.943766551858021e-08
pairing,128,94,True,0.004418709928879754,-0.0046830574154665735,-5.6103764296214914e-08
pairing,128,95,True,0.004421924079427084,-0.004685277928039801,-6.711495413396461e-08
pairing,128,96,True,0.004423780355490199,-0.004686996127925602,-9.320633227553887e-08
pairing,128,97,False,0.004423852078786827,-0.004686999679975054,-1.2606723607698142e-07
pairing,128,98,False,0.004422384573829795,-0.004685261885490586,-1.60834229097611e-07
pairing,128,99,False,0.0044196101067385495,-0.0046824967967816515,-1.9238497304908606e-07
pairing,128,100,False,0.004415874938394535,-0.004679993576772673,-2.2113685415117712e-07
pairing,128,101,False,0.0044117716774163115,-0.004679348482183701,-2.3826996947977526e-07
pairing,128,102,False,0.004408173969940413,-0.004682059601580468,-2.4425505385059117e-07
pairing,128,103,False,0.004406154051422156,-0.004689017365230451,-2.3579326587216606e-07
pairing,128,104,False,0.004406776940948977,-0.00469996507758059,-2.050692692982803e-07
pairing,128,105,False,0.004410769506981062,-0.0047130699118526935,-1.5378140631652076e-07
pairing,128,106,False,0.0044180693019684365,-0.00472477568132652,-7.612656597526073e-08
pairing,128,107,False,0.004427376443749571,-0.0047301295601443446,2.570305913528366e-08
pairing,128,108,False,0.004435882306984259,-0.00472374038345558,1.5124550481904891e-07
pairing,128,109,False,0.0044393308898093235,-0.00470138163876908,2.958363187488284e-07
pairing,128,110,False,0.0044326143052852394,-0.004662016507429928,4.507092657549984e-07
pairing,128,111,False,0.00441095980701001,-0.0046098649284384155,6.048961223754923e-07
pairing,128,112,False,0.00437163750332346,-0.0045557164022270915,7.478907226075946e-07
pairing,128,113,False,0.0043158988291746555,-0.004516657775210868,8.629402030696075e-07
pairing,128,114,False,0.004250533251056572,-0.004513571422948259,9.369917205596153e-07
pairing,128,115,False,0.004188302042201701,-0.004566083293253672,9.534350636278537e-07
pairing,128,116,False,0.004146466565999653,-0.004685521025335523,8.975850681206075e-07
pairing,128,117,False,0.004143056505752031,-0.004867455218429488,7.558152535361903e-07
pairing,128,118,False,0.00419126953677957,-0.0050855167758107975,5.16803291522594e-07
pairing,128,119,False,0.004292653848838822,-0.005288415851103524,1.821554444060916e-07
pairing,128,120,False,0.004429811347452259,-0.005401855796265277,-2.461610848060545e-07
pairing,128,121,False,0.004560753752927823,-0.005337021565137276,-7.568960745797486e-07
pairing,128,122,False,0.004619193643179337,-0.005008077157348571,-1.3174539187125415e-06
pairing,128,123,False,0.004519277277489322,-0.004362040310127473,-1.8697695538002872e-06
pairing,128,124,False,0.0041593951022008396,-0.003426322388711659,-2.3311307712556425e-06
pairing,128,125,False,0.0034781039147291515,-0.002346963796589427,-2.606141876677231e-06
pairing,128,126,False,0.0025935705549394172,-0.0013519247094619293,-2.616897122330894e-06
pairing,128,127,False,0.0016316340280260236,-0.0006251198361646724,-2.353458528442452e-06
pairing,128,128,False,0.001131473066957696,-0.00018762817493287224,-1.5958608043151377e-06
stripe,64,1,False,-1.4451956771869595e-10,-6.101864261099949e-05,0.016504308627304697
stripe,64,2,False,-2.0559415992138298e-10,-0.00022366639567157013,0.023998142685036278
stripe,64,3,False,-3.2204835896392477e-10,-0.0005729062102158072,0.026910604163384682
stripe,64,4,False,-4.3363220568111797e-10,-0.0012570351795536108,0.027926096984879967
stripe,64,5,False,-5.374010999330221e-10,-0.00242579631952092,0.02694803449212467
stripe,64,6,False,-6.255004196447577e-10,-0.004156717631472911,0.023993916590014732
stripe,64,7,False,-7.003295739243987e-10,-0.0063121539024822695,0.01911699612464523
stripe,64,8,False,-7.591882842730626e-10,-0.00842488986072737,0.012576320094439868
stripe,64,9,False,-7.927943369195478e-10,-0.009810980638050875,0.004893779006411265
stripe,64,10,False,-7.933414238243261e-10,-0.0099273214543891,-0.0032812714511029325
stripe,64,11,False,-7.601021951170498e-10,-0.008719100082266928,-0.01128213669671015
stripe,64,12,False,-7.001819610306901e-10,-0.006661682335995394,-0.018455210057469647
stripe,64,13,False,-6.288707685241699e-10,-0.0044584302134245985,-0.024262319782364983
stripe,64,14,False,-5.837381644444036e-10,-0.0026516843828779616,-0.028464647184879035
stripe,64,15,False,-5.205234814473661e-10,-0.0014438868181363826,-0.031171372643548606
stripe,64,16,False,-4.2864692907472154e-10,-0.0007845186975795615,-0.03266971336199546
stripe,64,17,False,-3.8605068356739636e-10,-0.0005543772445675086,-0.03320977441560895
stripe,64,18,False,-3.837079138471343e-10,-0.0006924187025293821,-0.03289648482942327
stripe,64,19,False,-3.8406204831662443e-10,-0.001238037856389704,-0.03166792982528163
stripe,64,20,False,-3.861117585853573e-10,-0.0023068345981508897,-0.02930514416055976
stripe,64,21,False,-4.029996413540806e-10,-0.003985358270974903,-0.02550949466632369
stripe,64,22,False,-4.3487058442208896e-10,-0.00614825106929477,-0.02009783854241147
stripe,64,23,False,-4.690889178270294e-10,-0.00832357666702277,-0.01320625103440363
stripe,64,24,False,-4.911564147944142e-10,-0.00980048029029915,-0.00529882048413605
stripe,64,25,False,-4.892919410666914e-10,-0.009998395654780955,0.003011320706885758
stripe,64,26,False,-4.803158496814951e-10,-0.008834826355924502,0.011094562245223089
stripe,64,27,False,-4.4262177732116746e-10,-0.006780355447094847,0.018327307441290852
stripe,64,28,False,-4.001648130011472e-10,-0.0045526697868159185,0.02418576865440418
stripe,64,29,False,-3.8961733774975563e-10,-0.0027127238909305726,0.02843599828816294
stripe,64,30,False,-3.911334239990414e-10,-0.0014733590486341657,0.03119263906697076
stripe,64,31,False,-4.1399730432835385e-10,-0.0007829653724489571,0.03275356443330496
stripe,64,32,False,-4.465361749250192e-10,-0.0005123863249059165,0.03338478201859677
stripe,64,33,False,-4.949049683588745e-10,-0.0005849666157117083,0.03321198473014725
stripe,64,34,False,-5.628963558470481e-10,-0.0010228941753754111,0.032200117567018086
stripe,64,35,False,-6.398190402490512e-10,-0.0019354304837977242,0.03015700272099227
stripe,64,36,False,-7.268239522960036e-10,-0.0034391902226561643,0.026782293770097505
stripe,64,37,False,-8.103783936026095e-10,-0.00549278742369883,0.0218295616185453
stripe,64,38,False,-8.957395533336945e-10,-0.007729156756197151,0.015327031778357545
stripe,64,39,False,-9.57451896772673e-10,-0.00947923004865742,0.007655075478935895
stripe,64,40,False,-9.780788991292982e-10,-0.010081447507897882,-0.0005988860113755453
stripe,64,41,False,-9.51989166706505e-10,-0.009286025267870052,-0.008807593921639406
