run_id,selection,geometry,V,t0,distance,count,mean,mean_abs,std
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,2,46,0.027407704961139055,0.027407704961139055,3.4728038866513825e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,3,45,0.022150858538660896,0.022150858538660896,3.558494117275313e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,4,44,0.02076205560092253,0.02076205560092253,3.478507245531966e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,5,43,0.019768955625583173,0.019768955625583173,3.4509353093337735e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,6,42,0.018824283361891632,0.018824283361891632,3.397952882638154e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,7,41,0.018105613780951796,0.018105613780951796,3.317764383086202e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,8,40,0.01761105723259376,0.01761105723259376,3.2593414363273265e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,9,39,0.017290377374172782,0.017290377374172782,3.1974822152673546e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,10,38,0.017093123690272095,0.017093123690272095,3.131611654240834e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,11,37,0.01697506726491722,0.01697506726491722,3.1176262285226376e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,12,36,0.016904914230055513,0.016904914230055513,3.13018762438232e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,13,35,0.01686284823551129,0.01686284823551129,3.167845583704786e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,14,34,0.016836992065190657,0.016836992065190657,3.240647502664946e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,15,33,0.016820650941573045,0.016820650941573045,3.325745082307233e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,16,32,0.016810059183826415,0.016810059183826415,3.4021931552017184e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,17,31,0.016803060142919258,0.016803060142919258,3.449971432899336e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,18,30,0.016798401229184957,0.016798401229184957,3.459190736683755e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,19,29,0.016795187121787784,0.016795187121787784,3.4628024100642944e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,20,28,0.016792768733868316,0.016792768733868316,3.491692087716746e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,21,27,0.016790839257855603,0.016790839257855603,3.52388041121889e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,22,26,0.01678937081489395,0.01678937081489395,3.52724504790811e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,23,25,0.01678808605122275,0.01678808605122275,3.5536938720437875e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,24,24,0.016786712686815246,0.016786712686815246,3.6364875949328086e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,25,23,0.016785354903852707,0.016785354903852707,3.7245290822186144e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,26,22,0.016784169510945426,0.016784169510945426,3.7845625884745616e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,27,21,0.0167829558368835,0.0167829558368835,3.85876631901983e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,28,20,0.016781513701211417,0.016781513701211417,3.959843728613613e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,29,19,0.016780077679925624,0.016780077679925624,4.018232494447846e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,30,18,0.016778707065169145,0.016778707065169145,4.010220044724206e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,31,17,0.016777177337384368,0.016777177337384368,3.971459423369808e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,32,16,0.016775249858111806,0.016775249858111806,3.943289867649024e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,33,15,0.016772890968219243,0.016772890968219243,3.9367583568725716e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,34,14,0.01677003469123144,0.01677003469123144,3.965553445273068e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,35,13,0.016766678377550345,0.016766678377550345,4.008661311323317e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,36,12,0.0167629330741637,0.0167629330741637,4.0166971132436384e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,37,11,0.016758562016794015,0.016758562016794015,3.940606700906693e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,38,10,0.016753464947762246,0.016753464947762246,3.661525641598478e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,39,9,0.016747752717292487,0.016747752717292487,3.0861665377746365e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,40,8,0.016740060060498503,0.016740060060498503,2.275219182226987e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,41,7,0.016729377110332847,0.016729377110332847,1.265055076076283e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,42,6,0.016714761164774498,0.016714761164774498,5.218878640906069e-06
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,43,5,0.016694830495034032,0.016694830495034032,1.206971648628275e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,44,4,0.01666977480755133,0.01666977480755133,1.722443605342158e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,45,3,0.016642975012534072,0.016642975012534072,1.565066687423485e-05
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,46,2,0.016622169525450113,0.016622169525450113,1.31731935874152e-06
no_explicit_geometry__V_-0.2__t0_1.4,no_explicit_geometry,cubic_frustrated,-0.2,1.4,47,1,0.01662317175306628,0.01662317175306628,0.0
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,1,47,0.05628894864211237,0.05628894864211237,4.216905803919412e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,2,46,0.02851195997903223,0.02851195997903223,1.122745899890229e-05
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,3,45,0.024708348756832813,0.024708348756832813,9.690624985274315e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,4,44,0.023228115772472968,0.023228115772472968,6.721836248740119e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,5,43,0.02252122735152092,0.02252122735152092,4.768170039014039e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,6,42,0.02217585832151326,0.02217585832151326,3.861575040737339e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,7,41,0.022022458112560366,0.022022458112560366,3.6253295850520107e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,8,40,0.02196072608611494,0.02196072608611494,3.536551478725116e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,9,39,0.02193608207235028,0.02193608207235028,3.694861577015748e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,10,38,0.02192574232648813,0.02192574232648813,4.122110298454218e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,11,37,0.021921355794101625,0.021921355794101625,4.274996871491088e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,12,36,0.021919438665637715,0.021919438665637715,4.711624374128014e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,13,35,0.021918707725881118,0.021918707725881118,5.16047066640563e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,14,34,0.02191859662960784,0.02191859662960784,5.024682872212962e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,15,33,0.021918490300410074,0.021918490300410074,4.940779285111456e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,16,32,0.02191843836256557,0.02191843836256557,4.6072456873102774e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,17,31,0.021918388840687503,0.021918388840687503,4.115572978992564e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,18,30,0.021918241219703444,0.021918241219703444,3.96918264634732e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,19,29,0.0219180585689675,0.0219180585689675,4.065465599280984e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,20,28,0.021918007321408205,0.021918007321408205,4.2660036267722735e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,21,27,0.021917985950117628,0.021917985950117628,4.497429899885053e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,22,26,0.02191811492471147,0.02191811492471147,4.715718934862648e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,23,25,0.02191812689473549,0.02191812689473549,5.011731676479281e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,24,24,0.02191808342403527,0.02191808342403527,5.380202961350962e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,25,23,0.021918036212581028,0.021918036212581028,5.598767630088643e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,26,22,0.02191804647856068,0.02191804647856068,5.649044032622582e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,27,21,0.02191820975678741,0.02191820975678741,5.5041043637777476e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,28,20,0.021918192871255886,0.021918192871255886,5.034822085798825e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,29,19,0.021918129240302956,0.021918129240302956,4.52739686750248e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,30,18,0.021917840813175993,0.021917840813175993,3.522010321343541e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,31,17,0.02191757818460242,0.02191757818460242,2.787170501834475e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,32,16,0.021917503042602895,0.021917503042602895,2.718292417401098e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,33,15,0.02191751137944055,0.02191751137944055,2.6770977075449196e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,34,14,0.021917646721002087,0.021917646721002087,3.771934675110883e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,35,13,0.021918440497883992,0.021918440497883992,3.8140548251463626e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,36,12,0.021919142704039843,0.021919142704039843,4.128270021306461e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,37,11,0.021919891428612545,0.021919891428612545,4.967932780790427e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,38,10,0.02192100042543584,0.02192100042543584,5.002672835948928e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,39,9,0.02192166495525837,0.02192166495525837,5.6067638526360565e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,40,8,0.021922567147399104,0.021922567147399104,5.4765884414580925e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,41,7,0.021923738620266957,0.021923738620266957,4.169587376503254e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,42,6,0.02192430236482421,0.02192430236482421,2.8692657696221707e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,43,5,0.02192402249959902,0.02192402249959902,1.0999251956350196e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,44,4,0.021922169052618734,0.021922169052618734,1.2093031099391355e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,45,3,0.021920405504461078,0.021920405504461078,1.205713211075207e-06
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,46,2,0.021918607952192186,0.021918607952192186,5.778786505376138e-07
no_explicit_geometry__V_-0.2__t0_1.6,no_explicit_geometry,cubic_frustrated,-0.2,1.6,47,1,0.021915122901199235,0.021915122901199235,0.0
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,1,47,0.06519403050083125,0.06519403050083125,4.712963693607332e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,2,46,0.024454787964711056,0.024454787964711056,6.735916968443397e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,3,45,0.017657160950913436,0.017657160950913436,5.982946981265445e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,4,44,0.017343587868658514,0.017343587868658514,6.305987668857935e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,5,43,0.016647221603844298,0.016647221603844298,6.325302240701139e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,6,42,0.015752652864124212,0.015752652864124212,6.0562058791517153e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,7,41,0.015040719458066867,0.015040719458066867,5.857644935598755e-05
no_explicit_geometry__V_-0.4__t0_1.2,no_explicit_geometry,cubic_frustrated,-0.4,1.2,8,40,0.014472156785786916,0.014472156785786916,5.710927894458625e-05
