run_id,selection,geometry,V,t0,source,channel,kx_multiple,kx_period,kx_over_pi,ky_over_pi,amplitude
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,22,54,0.8148148148148148,0.0,0.00011499591658258539
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,23,54,0.8518518518518519,0.0,0.00011140467574803354
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,24,54,0.8888888888888888,0.0,0.00010847986074869838
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,25,54,0.9259259259259259,0.0,0.00010649695582516571
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,26,54,0.9629629629629629,0.0,0.00010526975073031836
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-27,54,-1.0,1.0,8.723029628251074e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-26,54,-0.9629629629629629,1.0,1.0055269995762193e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-25,54,-0.9259259259259259,1.0,1.831988374696029e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-24,54,-0.8888888888888888,1.0,8.395786943644127e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-23,54,-0.8518518518518519,1.0,1.1149052773534119e-07
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-22,54,-0.8148148148148148,1.0,4.417742033261877e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-21,54,-0.7777777777777778,1.0,8.016233354836687e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-20,54,-0.7407407407407407,1.0,6.866816514601667e-08
no_explicit_geometry__V_-0.2__t0_1.0,no_explicit_geometry,cubic_frustrated,-0.2,1.0,plot_mf,cdw,-19,54,-0.7037037037037037,1.0,6.893332312261838e-08
