t0,V,family,rung,charge,spin_odd,rung_pair,leg_pair_right
1.4,-0.05,pairing,54,0.9253060199852513,-0.003875445254573701,-0.04649170348497556,0.03173283583866814
1.4,-0.05,pairing,55,0.9221814625993031,0.0010165114319250904,-0.0474936606344903,0.03259448516783666
1.4,-0.05,pairing,56,0.9204280174795996,0.002902739571489134,-0.048872272278007195,0.03360423613774443
1.4,-0.05,pairing,57,0.9213642680227181,-0.0077575746931301676,-0.05018600100856732,0.03436448599157592
1.4,-0.05,pairing,58,0.9262102480372096,0.013221803061740698,-0.05073269602475765,0.03432392530714788
1.4,-0.05,pairing,59,0.9356718029244067,-0.01870748369201433,-0.04962192185694218,0.03282484718337171
1.4,-0.05,pairing,60,0.9493215217033879,0.023374649856431007,-0.045830788264101203,0.02909557576063164
1.4,-0.05,pairing,61,0.9650680482413069,-0.026231553678189346,-0.038663285165240174,0.02301325378780236
1.4,-0.05,pairing,62,0.9796659804541716,0.026444591187952893,-0.02917113809455825,0.016430475663545822
1.4,-0.05,pairing,63,0.9905606636510075,-0.023874247134013593,-0.018898522818769678,0.009142688012760936
1.4,-0.05,pairing,64,0.9967289950867374,0.016260168985604267,-0.007244239818406221,
1.4,-0.1,stripe,1,0.9960260559287856,-0.0012140429270511425,-0.00817926890544085,0.01016814333034201
1.4,-0.1,stripe,2,0.989873152966855,0.0017774415236528338,-0.020420678920068387,0.017394832313182625
1.4,-0.1,stripe,3,0.9785244069351907,-0.0019649499617631076,-0.030519121754667124,0.023733931952322533
1.4,-0.1,stripe,4,0.9638223391579784,0.001946177906223922,-0.039726914481349476,0.029592318308911257
1.4,-0.1,stripe,5,0.9482816057704757,-0.0017332082062328088,-0.04659959950277917,0.03310649664316247
1.4,-0.1,stripe,6,0.93504176486922,0.0013888104830117728,-0.050135410035855324,0.034454255454111286
1.4,-0.1,stripe,7,0.9260206227764448,-0.0009846506135363494,-0.05108108742906518,0.034416931273136525
1.4,-0.1,stripe,8,0.921501203094441,0.0005840016091623755,-0.05045820619914547,0.03363595923688451
1.4,-0.1,stripe,9,0.9207333536760042,-0.0002269504576414836,-0.04913454067296571,0.03264166321987975
1.4,-0.1,stripe,10,0.9225217569127415,-6.20513407379173e-05,-0.0477841424139891,0.03181142484750589
1.4,-0.1,stripe,11,0.925601479583342,0.00027723822041675317,-0.04682424293785393,0.03133485164347696
1.4,-0.1,stripe,12,0.9288992927132437,-0.00041862358877466094,-0.04641773576318796,0.031248812540690705
1.4,-0.1,stripe,13,0.9316673621690165,0.0004955958596107994,-0.04653995249475074,0.03148710769967106
1.4,-0.1,stripe,14,0.9335159998588148,-0.0005177810407910187,-0.04705039677504716,0.03192724685906264
1.4,-0.1,stripe,15,0.9343721626208483,0.0004973951930393329,-0.04776145007924963,0.032439644374084656
1.4,-0.1,stripe,16,0.9343940898880403,-0.0004472927615045686,-0.04849774799021986,0.032917908391347346
1.4,-0.1,stripe,17,0.933862694828306,0.00037843224300949946,-0.04913023966531599,0.03329302706233178
