L,U,V,t0,density,chi,E_N,E_p,rel_diff
64,4.0,0.0,1.2,0.875,1500,-118.87003626819764,-0.05481305821555793,5.142917067021007e-07
64,4.0,0.0,1.2,0.9375,1500,-109.53131065805465,-0.11509141017569391,4.859514337023252e-07
64,4.0,0.0,1.3,0.875,1500,-124.14822007035913,-0.07735037424890834,7.293063713525321e-07
64,4.0,0.0,1.3,0.9375,1500,-114.81770857942978,-0.13317508338005268,3.5632567499289964e-07
64,4.0,0.0,1.4,0.875,1500,-130.04626627340892,-0.09774744780361289,4.320152153694061e-07
64,4.0,0.0,1.4,0.9375,1500,-120.73275172503965,-0.15214070002622293,5.014902545888249e-07
64,4.0,0.0,1.5,0.875,1500,-136.65564388302292,-0.12794168611833356,3.5418743599335586e-07
64,4.0,0.0,1.5,0.9375,1500,-127.3565280895682,-0.16542492480459714,6.86443128988808e-07
64,4.0,0.0,1.6,0.875,1500,-144.14731212463926,-0.14489670918243291,2.723659942536647e-07
64,4.0,0.0,1.6,0.9375,1500,-134.8125273980571,-0.15893022438814342,5.340311499983786e-07
64,4.0,0.0,1.7,0.875,1500,-152.71254132147956,-0.01810412716594101,1.456483330351684e-07
64,4.0,0.0,1.7,0.9375,1500,-143.25123235231484,-0.056429317616448316,8.748830897456098e-07
64,4.0,0.0,1.8,0.875,1500,-162.03680574351205,0.005126342817277418,9.732399797612642e-07
64,4.0,0.0,1.8,0.9375,1500,-152.58142133345314,-0.0015127858546861717,9.207259261529691e-07
64,4.0,0.0,1.9,0.875,1500,-171.68608174308028,0.009334794984397377,7.614759512995755e-07
64,4.0,0.0,1.9,0.9375,1500,-162.43944106864063,0.0050503740517910956,9.209342144201871e-07
64,4.0,0.0,2.0,0.875,1500,-181.5424009161909,0.011795474755899704,5.404167152055235e-07
64,4.0,0.0,2.0,0.9375,1500,-172.62534128623622,0.007714976841725729,6.260745541989637e-07
64,4.0,0.2,1.0,0.875,1500,-83.35820893541832,-0.021301760712901796,8.559162503725069e-07
64,4.0,0.2,1.0,0.9375,1500,-69.62061056504474,-0.06910895447396115,3.496264270087416e-07
64,4.0,0.4,1.0,0.875,1500,-57.00535124159485,-0.01130684231692669,7.787436571108374e-07
64,4.0,0.4,1.0,0.9375,1500,-38.816593497160305,-0.054023926067785055,8.12514017210558e-07
64,8.0,-1.0,1.0,0.875,1000,-221.72625287770117,-0.20424737034323925,1.6988911755198374e-09
64,8.0,-1.0,1.0,0.9375,1000,-230.91026131643497,-0.2713195876256691,1.1650620566934958e-08
64,8.0,-0.8,1.0,0.875,1000,-193.21163357715687,-0.17282824705557687,1.645595295604563e-08
64,8.0,-0.8,1.0,0.9375,1000,-197.9466640007324,-0.22777472737180915,8.161698110195802e-11
64,8.0,-0.6,1.0,0.875,1000,-164.93925035358848,-0.146731728837608,3.574478925296858e-08
64,8.0,-0.6,1.0,0.9375,1000,-165.25141965485795,-0.19582361348716404,1.0395741278046287e-09
64,8.0,-0.4,1.0,0.875,1000,-136.871749840678,-0.12576628472851326,6.898343690578549e-09
64,8.0,-0.4,1.0,0.9375,1000,-132.7502729441373,-0.17882744409052975,3.375464676589242e-09
64,8.0,-0.4,1.2,0.9375,1000,-140.03373823688898,-0.25124588461187614,4.534212581696138e-06
64,8.0,-0.4,1.4,0.9375,1000,-149.6541208637238,-0.24962435880865996,8.830314012699676e-06
64,8.0,-0.4,1.6,0.9375,1000,-161.74832790078202,-0.11174661412593423,7.686452418930094e-06
64,8.0,-0.2,1.0,0.875,1000,-108.93562052650284,-0.10656267613848058,1.1766754187384712e-09
64,8.0,-0.2,1.0,0.9375,1000,-100.32716991458547,-0.1545120066237189,1.620612322657248e-09
64,8.0,-0.2,1.2,0.9375,1000,-107.62772258023809,-0.21453418655934797,8.818637944232346e-06
64,8.0,-0.2,1.4,0.9375,1000,-117.29253120392566,-0.2068002629740704,6.942896089779351e-06
64,8.0,-0.2,1.6,0.9375,1000,-129.55383408109265,-0.07459279392128337,7.427757428173563e-06
64,8.0,0.0,0.0,0.875,1000,-66.30437080262884,0.002849469769842017,9.808396195275159e-08
64,8.0,0.0,0.0,0.9375,1000,-54.48912409800581,-0.0011860401165364465,5.712632588989425e-07
64,8.0,0.0,0.2,0.875,1000,-66.8870573800074,0.008827118358681219,4.323094496794853e-08
64,8.0,0.0,0.2,0.9375,1000,-55.04918593824505,0.0005545801671473782,2.981995639888736e-09
64,8.0,0.0,0.4,0.875,1000,-68.81851222579812,0.02017639754703282,8.0253285254159e-09
64,8.0,0.0,0.4,0.9375,1000,-56.57427701967468,0.012921719859022573,8.218545363866095e-09
64,8.0,0.0,0.6,0.875,1000,-71.73399350299135,0.0188502019646819,5.374681679640346e-09
64,8.0,0.0,0.6,0.9375,1000,-58.91736266495804,-0.024858002387958322,1.6011379772685552e-08
64,8.0,0.0,0.8,0.875,1000,-75.64292203064798,-0.029497183562028795,4.829365555469591e-08
64,8.0,0.0,0.8,0.9375,1000,-62.624032499335925,-0.08127700914923253,2.1660167661530264e-09
64,8.0,0.0,1.0,0.875,1000,-81.10019668394756,-0.0896412375004445,1.7768990609580185e-09
64,8.0,0.0,1.0,0.9375,1000,-67.97081598368979,-0.13251724,6.081926095271969e-10
64,8.0,0.0,1.1,0.875,1500,-84.50380956039649,-0.11581299748607421,4.895949767912275e-07
