family,iteration,channel,absolute,applied_rms,contraction,cosine,factor,measured_rms,passes,relative
stripe,26,charge_modulation,5.355029518124346e-09,0.0004750177050115552,-0.15944795269995657,-0.7447145739626844,1.0,0.000475017718559102,1,3.7132082153217778e-06
stripe,27,charge_modulation,6.5414573857495995e-09,0.000475017718559102,-0.34001609537814154,-0.29121669662883637,1.0,0.0004750180757439959,1,4.335430021538774e-06
stripe,28,charge_modulation,8.731447963088168e-09,0.0004750180757439959,-0.6542491936721526,-0.5855451637161497,1.0,0.00047501823886005707,1,4.8441192884352415e-06
stripe,29,charge_modulation,3.5033725625382983e-09,0.00047501823886005707,0.04296804582747442,0.08064703470500033,1.0,0.0004750181569258653,1,2.5809050554754345e-06
stripe,30,charge_modulation,5.969227022829121e-09,0.0004750181569258653,-1.4415356748866859,-0.8418735004722222,1.0,0.00047501876462771006,1,4.419265591483244e-06
stripe,31,charge_modulation,1.170199847534345e-07,0.00047501876462771006,0.6906267117706744,0.029692570970075122,1.0,0.00047500685317772984,0,0.0001027887705299517
stripe,32,charge_modulation,1.3224485956786144e-07,0.00047500685317772984,-1.1177528516171762,-0.997885683920773,1.0,0.0004750190886482087,0,0.00011513579646929902
stripe,33,charge_modulation,1.9196786454726833e-08,0.0004750190886482087,-0.14713824470601022,-0.9498501566420341,1.0,0.00047501768185154186,1,1.7835317367543e-05
stripe,34,charge_modulation,4.789219414233145e-08,0.00047501768185154186,2.0808656874351708,0.9239546040856568,inf,0.0004750130864860517,0,4.016756849618343e-05
stripe,35,charge_modulation,6.98576113986743e-08,0.0004750130864860517,1.3060713146726914,0.9636207226793152,inf,0.0004750078537082879,0,5.4442806472173444e-05
stripe,36,charge_modulation,1.2436099913618395e-07,0.0004750078537082879,-1.9928889148900337,-0.991577561319936,1.0,0.00047501918807293513,0,0.00010941864367582374
stripe,37,charge_modulation,1.6484096665783654e-08,0.00047501918807293513,-0.12151525712438015,-0.953814596733332,1.0,0.0004750178814118267,1,1.393985232141081e-05
stripe,38,charge_modulation,5.000460367391574e-09,0.0004750178814118267,0.03898466991606673,0.16387030964675572,1.0,0.00047501810248552534,1,3.3162919174174912e-06
stripe,39,charge_modulation,1.104175303794086e-08,0.00047501810248552534,-1.7024339555123553,-0.8962849028019866,1.0,0.00047501769967205694,1,6.2990773904065325e-06
