t0,V,family,iteration,energy_per_site,spin_field_rms,pairing_field_rms,global_relative_residual,density
1.4,-0.4,stripe,31,-1.1674047968918935,6.125654891614708e-08,0.002823643296882001,1.1362456131783984e-05,0.9374925028154377
1.4,-0.4,stripe,32,-1.167404803917181,4.085091146254526e-08,0.00282363284688633,1.492116809878616e-05,0.9374920841503569
1.4,-0.4,stripe,33,-1.167404800323005,4.858778755151006e-08,0.0028236323411509473,4.873707877278904e-06,0.9374921551436279
1.4,-0.4,stripe,34,-1.167404799499411,5.2728678749831395e-08,0.0028236379653967555,1.0416550194167017e-05,0.9374923275739406
1.4,-0.4,stripe,35,-1.1674047981649105,4.682960178323764e-08,0.0028236478799161216,1.1179579808451543e-05,0.9374925137044781
1.4,-0.4,stripe,36,-1.167404804011807,3.812706846958412e-08,0.0028236352263233517,9.715102552782141e-06,0.9374920957477441
1.4,-0.4,stripe,37,-1.1674048005271451,3.4239050367458664e-08,0.0028236342246898056,2.505276964510672e-06,0.9374921338227413
1.4,-0.4,stripe,38,-1.1674048004395856,2.523983374721702e-08,0.002823634837004762,5.02334722031323e-06,0.9374921582773784
1.4,-0.4,stripe,39,-1.1674048007666753,2.371413782570822e-08,0.0028236352407262516,5.525320699222824e-06,0.9374921325224888
1.4,-0.4,stripe,40,-1.16740480053033,3.048014985792102e-08,0.0028236340622662484,9.923000053078967e-06,0.937492149911747
1.4,-0.4,stripe,41,-1.1674047968502554,4.279172054085703e-08,0.0028236463603653326,9.740308108154834e-06,0.9374925039446523
1.4,-0.4,stripe,42,-1.167404803932107,3.7468167341588964e-08,0.0028236349378337965,1.0409419438611296e-05,0.937492086542688
1.4,-0.4,stripe,43,-1.1674048003508266,3.153600254172993e-08,0.002823635016303171,1.2469164509860963e-05,0.9374921491102889
1.4,-0.4,stripe,44,-1.1674048007289068,3.679948755614046e-08,0.002823635269477648,9.536631681743791e-06,0.9374921381583686
1.4,-0.4,stripe,45,-1.1674048006056623,2.010581949899921e-08,0.002823636043779621,1.3053387034719349e-05,0.9374921398161082
1.4,-0.4,stripe,46,-1.1674048006709552,2.1169700676238607e-08,0.0028236357948472767,6.416365534082486e-06,0.9374921343988314
1.4,-0.4,stripe,47,-1.167404800621361,2.9083106473035754e-08,0.0028236377283375347,1.0933525040567282e-05,0.9374921448005219
1.4,-0.4,stripe,48,-1.1674048007757738,2.851725598362558e-08,0.002823635555190444,1.769189415130613e-05,0.9374921251442512
