t0,V,family,rung,physical_charge,physical_spin_odd,physical_rung_pair
1.4,-0.4,pairing,58,0.9257369650051974,2.57206944173638e-07,-0.05384466874332114
1.4,-0.4,pairing,59,0.9286517173577106,1.2969984791721956e-07,-0.0544999440212888
1.4,-0.4,pairing,60,0.9351995787116456,3.853777112705625e-08,-0.0539797841323401
1.4,-0.4,pairing,61,0.9453629105886316,1.8655464648076325e-07,-0.05126506279300783
1.4,-0.4,pairing,62,0.9580228915044197,-1.669014242366984e-07,-0.04711732103647143
1.4,-0.4,pairing,63,0.9727526690487769,5.0390144903933454e-08,-0.04172142165433113
1.4,-0.4,pairing,64,0.9830174255039745,-2.4166073961384704e-08,-0.022986805891825737
1.4,0.0,stripe,1,0.9990360381584299,-0.12063021954258034,-3.061976031311693e-10
1.4,0.0,stripe,2,0.99643729307993,0.17535759701199144,-8.225849664893755e-10
1.4,0.0,stripe,3,0.9908059939088376,-0.19640413770488097,-1.3031024293168721e-09
1.4,0.0,stripe,4,0.9797535410815037,0.20321747744987934,-1.7929110745418907e-09
1.4,0.0,stripe,5,0.9610129917979198,-0.19488154527213838,-2.2735993491524516e-09
1.4,0.0,stripe,6,0.9337723596339524,0.17140595838686712,-2.7103881938789123e-09
1.4,0.0,stripe,7,0.9009185966567077,-0.1333986658223863,-3.093503729362337e-09
1.4,0.0,stripe,8,0.8703680791501212,0.08324016987689178,-3.3805751672320722e-09
1.4,0.0,stripe,9,0.8525854955828895,-0.025207728048394704,-3.519159858283754e-09
1.4,0.0,stripe,10,0.8547682904458381,-0.035696824340559194,-3.480267247608843e-09
1.4,0.0,stripe,11,0.8761166445079127,0.09441432844237109,-3.283081290057528e-09
1.4,0.0,stripe,12,0.9082829047362622,-0.14603377602348783,-2.9980112649735962e-09
1.4,0.0,stripe,13,0.9406454437240385,0.18679569389251235,-2.699727603442322e-09
1.4,0.0,stripe,14,0.9659344899445496,-0.21545372013585393,-2.4634550208984516e-09
1.4,0.0,stripe,15,0.9820836576777455,0.23328283456403365,-2.2474152148754113e-09
1.4,0.0,stripe,16,0.9903352017499581,-0.24256361080755318,-2.1266050171632016e-09
1.4,0.0,stripe,17,0.9924382902259614,0.24501762232776766,-1.7745959264726878e-09
1.4,0.0,stripe,18,0.988981093012561,-0.24115457692614106,-1.6857483402275805e-09
1.4,0.0,stripe,19,0.9789910380548683,0.23017948066945965,-1.8529002006776592e-09
1.4,0.0,stripe,20,0.9605882330318438,-0.2101394471133233,-1.94889780449195e-09
1.4,0.0,stripe,21,0.9330055580096639,0.17879031626203742,-2.1948188742142435e-09
1.4,0.0,stripe,22,0.899506585456439,-0.1352716998193858,-2.4208687810490702e-09
1.4,0.0,stripe,23,0.8686765095770063,0.08139999912493068,-2.624024387145659e-09
1.4,0.0,stripe,24,0.8514377830215698,-0.021194921199539918,-2.7503485046178334e-09
1.4,0.0,stripe,25,0.85483831150885,-0.04062616995604848,-2.741700669209582e-09
1.4,0.0,stripe,26,0.8774318090593018,0.09932529038587615,-2.5925253064588765e-09
1.4,0.0,stripe,27,0.9102563033374159,-0.1502791538029848,-2.3284812636513213e-09
1.4,0.0,stripe,28,0.9425510377881658,0.19004443814509003,-2.0077696168001084e-09
1.4,0.0,stripe,29,0.9673549021434138,-0.2177292331178764,-1.6702616587655003e-09
1.4,0.0,stripe,30,0.983003773536164,0.23486233566135908,-1.4005090302657328e-09
1.4,0.0,stripe,31,0.9909910550104979,-0.2438159067369285,-1.1759322513620521e-09
1.4,0.0,stripe,32,0.9931818688511564,0.24632302148047788,-1.0348551314897875e-09
1.4,0.0,stripe,33,0.9902525190248609,-0.24292265690887122,-9.625977854973886e-10
1.4,0.0,stripe,34,0.9813159338152674,0.23289519656442387,-8.710634842281921e-10
1.4,0.0,stripe,35,0.9644395084989923,-0.21435713290747385,-9.066406739821504e-10
1.4,0.0,stripe,36,0.9384088721353023,0.1849639959875513,-1.0137988241869524e-09
1.4,0.0,stripe,37,0.9055722031814868,-0.1434762461370121,-1.124490280044047e-09
1.4,0.0,stripe,38,0.8736191219160541,0.09121030388941646,-1.2224742806367484e-09
1.4,0.0,stripe,39,0.8534007845282331,-0.03188523351720496,-1.2847750336800188e-09
1.4,0.0,stripe,40,0.8530325512653447,-0.0298492598573617,-1.2774949370703149e-09
1.4,0.0,stripe,41,0.8726520490830966,0.0893096849470662,-1.2020236498868292e-09
1.4,0.0,stripe,42,0.9043385633591907,-0.14185413067973385,-1.1082553851133344e-09
1.4,0.0,stripe,43,0.9372463540111635,0.18375952513158939,-1.0333576372359955e-09
1.4,0.0,stripe,44,0.9635691990501742,-0.21367603359647,-1.0383186301581175e-09
1.4,0.0,stripe,45,0.9808582790680637,0.2328378224424955,-1.0138537543860205e-09
1.4,0.0,stripe,46,0.9903656023945908,-0.2436792342734247,-9.42647088280124e-10
1.4,0.0,stripe,47,0.9942434967891985,0.24827667956724214,-1.032961330438061e-09
1.4,0.0,stripe,48,0.9937797394354007,-0.24764512412125841,-8.335869796254262e-10
1.4,0.0,stripe,49,0.9888136968121559,0.24164084016032228,-5.336009292659363e-10
