id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spatial_cell,charge_rms,spin_rms,bulk_density,rung_anomalous_rms,short_raw_abs,short_connected_abs,long_raw_abs,long_connected_abs,diagnostic,diagnostic_sha256,source_sha256
backfill_28,cubic_unfrustrated,1.2,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t012_vm02_chi200_raw,7.096199735550854e-06,one_ladder,0.08128895735488342,0.31542714292756974,0.9253880321651725,6.717166950882316e-11,0.005945207801340756,0.005945207801340756,1.18399165674088e-09,1.1839916567408986e-09,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t012_vm02_chi200_raw/diagnostics.h5,0fb1f380edd6af068d5f5fe599d34a72fcc8d1be4c6427b83042cb8965b0c225,581d2996ae69c1f84e3162764f863dbfc1d21589dca87def37a57f00495830ab
backfill_29,cubic_unfrustrated,1.2,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t012_v000_chi200_raw,5.3331828520305526e-06,one_ladder,0.08333223392034782,0.32457747206294335,0.924793191345148,2.568450676318571e-11,0.004937414232463758,0.004937414232463758,1.485363329092816e-10,1.4853633290935668e-10,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t012_v000_chi200_raw/diagnostics.h5,54ec088fb63c50002e2e5f475881dc9192dd6bb8efcd15a98487d94c88bd9245,f919f4b3c9490323505b57e71f345fd07f48af38d3b4fb7a8a1891ce14b6d870
backfill_30,cubic_unfrustrated,1.2,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t012_v000_chi200_raw,5.2738035646025284e-06,one_ladder,0.083355263882849,0.3246514589877819,0.9248634915154453,5.963604934859225e-12,0.004927658526666434,0.004927658526666434,1.4697143364551226e-10,1.4697143364552113e-10,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t012_v000_chi200_raw/diagnostics.h5,c11899790bec3a7e8281b876265cf5f609242f4d382cdf379f02579778808118,55150049cbd05901fb1cb6cd35e156d2e4041ceb837d984cea136e372666394f
backfill_31,cubic_unfrustrated,1.4,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t014_vm04_chi200_raw,3.886973467315605e-05,one_ladder,0.07976178541821959,0.27980908144208017,0.9256085044268131,9.30626949528942e-12,0.010342583944363432,0.010342583944363432,1.3937288809029268e-07,1.3937288809029268e-07,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t014_vm04_chi200_raw/diagnostics.h5,ed5c0563f89c8aa63b04b671f3c694680743ef4cd37f53272abe47c27f0ce376,0929ad19652c977176f8aaefdca8895e5d478a5e1938841c49033bb29d9a34d8
backfill_32,cubic_unfrustrated,1.4,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t014_vm04_chi200_raw,5.548909962709708e-05,one_ladder,0.07953081436483049,0.2811972863174236,0.9269610348062683,7.847260534938003e-12,0.010064303943177547,0.010064303943177547,1.2935031665233836e-07,1.2935031665233836e-07,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t014_vm04_chi200_raw/diagnostics.h5,507943691d5297c5636a51deae6d3bd27c1a56fa16c33d43a6da6b002e7651d3,4c20c210b57f195a591779ba63ba501c1c95c63c756a9d0ac31b253b3e647af5
backfill_33,cubic_unfrustrated,1.4,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t014_vm02_chi200_raw,7.765602816112854e-06,one_ladder,0.08282670450620723,0.29498532521873694,0.9249640753336914,3.852556367575632e-12,0.008042396755509976,0.008042396755509976,8.555795392304643e-09,8.555795392304648e-09,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t014_vm02_chi200_raw/diagnostics.h5,034e0b134c7f924370bc4d372814dc73612b43299d8ef78c2f01064e333e6cb5,4b1b94f84ef9024d9818611d3b59d572eb9328b2a91f8ea1a340d7d1a75ac11b
backfill_34,cubic_unfrustrated,1.4,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t014_vm02_chi200_raw,8.01696083442549e-06,one_ladder,0.08280303387474765,0.2952428640618796,0.9252153532249704,6.515292084801572e-12,0.00799741582145077,0.00799741582145077,8.410108881973607e-09,8.410108881973629e-09,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t014_vm02_chi200_raw/diagnostics.h5,b808ca02906f760beb2457d1ab1a7c16dd11b89c271af95364d887c5e4e224f0,4b9a7256dacab1e717a6f09ad2ca8a7881acd6a6d7fdf5b647c24dc3eca1605c
backfill_35,cubic_unfrustrated,1.4,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t014_v000_chi200_raw,2.2070373173269098e-06,one_ladder,0.08886435497922505,0.32017745749397475,0.9241469614030816,1.2637493331073078e-11,0.005657541045144593,0.005657541045144593,5.416194951996481e-11,5.416194951995162e-11,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__stripe_weak_other_t014_v000_chi200_raw/diagnostics.h5,eda6c05021ce693b96efe54d587c6c13ee2df190f9602cc6efa834049966e5c1,ed52bd06d49319d93c7addc39129bd343c3f4fb8f6cc2c22b66aba8c4cb64f1e
backfill_36,cubic_unfrustrated,1.4,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t014_v000_chi200_raw,2.4941697693153797e-06,one_ladder,0.08884250351791508,0.32034386332761244,0.9243139644829853,1.7218422561957865e-12,0.005635316608422312,0.005635316608422312,5.252270082011926e-11,5.2522700820119474e-11,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_cubic_unfrustrated_two_basin_95_5_60/cubic_unfrustrated__pairing_weak_other_t014_v000_chi200_raw/diagnostics.h5,da9e698f33b88578674742ff6debcb90621a4037e3f53f256a9e95ba1fad525a,5e14326fb8874be4b12edd4d7645f6b41a4f64a17f9e84634410a1fa6fb4d40b
backfill_37,square,1.4,-0.05,200,False,maximum_iterations,60,,square__stripe_weak_other_t01400_vm0050_chi200_raw,5.709757946182519e-05,one_ladder,0.043796803078708244,0.14925207312537264,0.9319252091438092,0.00011032582791860977,0.016201587037223332,0.016201574571829268,0.00028723016923624776,0.00028721804098334915,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__stripe_weak_other_t01400_vm0050_chi200_raw/diagnostics.h5,a944679e9de43108b7a859f6b09bfa16025b872163122bf1bdc3ab85fe6a41c4,3c24a948b1a52ff4ba9ff705723a7daff3e4973e632c8aeb3b9ea584bbc6af09
