id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spatial_cell,charge_rms,spin_rms,bulk_density,rung_anomalous_rms,pair_uniform,pair_uniform_weight_fraction,state_group,short_raw_abs,short_connected_abs,long_raw_abs,long_connected_abs,charge_short_connected_abs,charge_short_connected_signed,charge_long_connected_abs,charge_long_connected_signed,charge_stripe_q_connected,charge_stripe_q_contact,charge_stripe_q_offsite,spin_short_connected_abs,spin_short_connected_signed,spin_long_connected_abs,spin_long_connected_signed,spin_stripe_q_connected,spin_stripe_q_contact,spin_stripe_q_offsite,diagnostic,diagnostic_sha256,source_sha256
backfill_45,square,1.3,-0.4,200,False,maximum_iterations,60,,square__stripe_weak_other_t01300_vm0400_chi200_raw,2.866725752614929e-07,one_ladder,0.0030166150790296715,1.0279321400175142e-06,0.9338616501610902,0.099056452276723,0.09900894601809984,0.9990410545537969,uniform_pairing,0.021521098183345102,0.01164780587317324,0.010172824097537211,0.0003159063841536435,0.0014314523935807701,-0.0014314523935807701,2.3922965244852487e-05,2.350291057536322e-05,0.04721446360588819,0.053071202560090874,-0.005856738954202682,0.013543108803283419,0.006386245661923528,2.199408581343651e-06,-9.141484438498084e-07,0.34608972466073745,0.1734740399274494,0.17261568473328806,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__stripe_weak_other_t01300_vm0400_chi200_raw/diagnostics.h5,c6e87328164d413dc9f537a295f7372664f6b31e7c3891fee99d4f2e23bfd26a,e41007d19cd863a691b8ddfaa061e9563820e8b971d5cf5cf7ed402de5b1a102
backfill_46,square,1.3,-0.4,200,False,maximum_iterations,60,,square__pairing_weak_other_t01300_vm0400_chi200_raw,6.611816338574763e-07,one_ladder,0.003017109394683611,2.5143800153840075e-07,0.9338622328545477,0.09905555602226092,0.09900803186110126,0.9990406845881694,uniform_pairing,0.02152090356524968,0.011647784062560904,0.010172652670513154,0.0003159016068577436,0.0014314123981741078,-0.0014314123981741078,2.3922883224370037e-05,2.350276801473468e-05,0.047214232700324654,0.053070971923048875,-0.005856739222724221,0.013543250092339788,0.00638628284804804,2.1991237015481105e-06,-9.141191449609224e-07,0.34609091598681935,0.17347420273187195,0.1726167132549474,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260915_square_two_basin_fine_cuts_95_5_60/square__pairing_weak_other_t01300_vm0400_chi200_raw/diagnostics.h5,0f688af3c997e529d1746fb5b41f85362f31cf67993374dffff458dce0045edb,9476638263639bce26bffbc93ec95b9b74bba043d0bc339059e478f51912914a
backfill_47,square,1.35,-0.4,200,False,maximum_iterations,60,,square__stripe_weak_other_t01350_vm0400_chi200_raw,4.0116943924922363e-07,one_ladder,0.002535922521176528,7.022782997763748e-07,0.9341003887116056,0.10349977012943462,0.10346530953066904,0.9993342040888402,uniform_pairing,0.022697165559968483,0.011927307807963517,0.011073654763475518,0.00031904361768037633,0.0014542329946769894,-0.0014542329946769894,2.060757347646118e-05,2.0273299736155865e-05,0.04745047060133637,0.05153140315157448,-0.0040809325502381075,0.012036023327521631,0.005778652624520241,1.0110495228983625e-06,-4.439169461101795e-07,0.3354071816207606,0.17741491208670915,0.15799226953405146,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__stripe_weak_other_t01350_vm0400_chi200_raw/diagnostics.h5,56c2219364a36e79d29d21224f4745df89e0a75a4a28c7f01da94f3d68b406cb,847809ad2e5163ce0673b3eeee4603e0a91d64b2c2cc3fc02148c02fad2367fd
backfill_48,square,1.35,-0.4,200,False,maximum_iterations,60,,square__pairing_weak_other_t01350_vm0400_chi200_raw,5.979980986022156e-07,one_ladder,0.002535939720881093,6.318266987363536e-07,0.9341018144298481,0.10349977715015589,0.10346532009778966,0.9993342726407834,uniform_pairing,0.022696789699168628,0.011926937913174904,0.011073647921114246,0.00031903503604237905,0.0014541408887051909,-0.0014541408887051909,2.0607407369055353e-05,2.0273375327639994e-05,0.04744997377164039,0.05153083875579284,-0.0040808649841524505,0.01203602806864482,0.0057787294546424025,1.0092679589827918e-06,-4.4313548698886567e-07,0.3354085369559287,0.17741529648503596,0.15799324047089275,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260915_square_two_basin_fine_cuts_95_5_60/square__pairing_weak_other_t01350_vm0400_chi200_raw/diagnostics.h5,baf8f4f5a66428f36a408981e27399a51aade2e2eb346e16e22c34ae9034e7ff,cdd00c3bb70102890838462a1809a7a3bfb215194ba389a38f1376173b4d42fc
backfill_53A,trellis,1.0,0.0,200,False,maximum_iterations,60,A,trellis__one_ladder__stripe_eps005_chi200_raw60,2.326870998416164e-06,one_ladder,0.005213820521227574,1.0318183012709566e-05,0.930634867103266,0.06578930404525814,0.0657386417001752,0.9984604537454472,uniform_pairing,0.010325448912987359,0.005977724105524526,0.004395652169896389,4.641091245203553e-05,0.0009399641700412664,-0.0009399641700412664,1.2549149954886839e-05,8.359630883959604e-06,0.03990319691755161,0.05896802517710103,-0.019064828259549416,0.019161520642543266,0.00835688220438669,3.11274930235818e-05,-9.748443378957425e-06,0.37735399379803364,0.15027819897964867,0.22707579481838497,output/phase1_diagnostics/20260921_latest_correlations_retry2/results/20260916_trellis_two_basin_comparison_60/trellis__one_ladder__stripe_eps005_chi200_raw60/diagnostics_ladder_A.h5,7d87598c8a6e885c9736081ee306a77c4af5a6918ef408a840169242150cc5e4,b6eba891c3da1df315840beed9e2048267ef639ae200ec39dabb098f269fb805
backfill_54A,trellis,1.0,0.0,200,False,maximum_iterations,60,A,trellis__one_ladder__pairing_eps005_chi200_raw60,3.304658516417591e-07,one_ladder,0.0052153228645784085,1.1663403638412311e-05,0.9306347416477038,0.06578888229783533,0.06573819367157849,0.9984596455403512,uniform_pairing,0.010325412682836757,0.005977733865499498,0.004395601181457409,4.641084885632313e-05,0.0009399676533953029,-0.0009399676533953029,1.2548973959359934e-05,8.359408178691905e-06,0.03990312056457948,0.058968046240734144,-0.019064925676154663,0.019161527568717227,0.008356876067792717,3.11272412058586e-05,-9.748354374696006e-06,0.37735393916747473,0.15027817177146557,0.22707576739600915,output/phase1_diagnostics/20260921_latest_correlations_retry1/results/20260916_trellis_two_basin_comparison_60/trellis__one_ladder__pairing_eps005_chi200_raw60/diagnostics_ladder_A.h5,058e32381981e7930651a014703fe5d94d04cefc7895f4951a0ffc80e59807fd,574e5ae0106a9e8e99b4d8c9212b5385f6a69850926e9d3e560b146db89eb53b
square_AB_stripe_-0.4_A,square,1.4,-0.4,200,True,fixed_point,40,A,square__two_ladder__stripe_eps005_t014_vm04_chi200_raw60,1.7705029812777946e-07,two_ladder,0.002087012553959429,1.755743968553785e-07,0.9343990973766303,0.10639100224336817,0.10636639188740099,0.99953741370951,uniform_pairing,0.023187244470960305,0.011814648337092858,0.011660930599238882,0.00030361128013676276,0.0014275911170725435,-0.0014275911170725435,1.682766563596413e-05,1.650420639886578e-05,0.04737721141786213,0.04983460522561656,-0.002457393807754428,0.010533332253990921,0.005148812658567535,4.5582557732666384e-07,-2.064227737266262e-07,0.32420297514051594,0.1810979357345965,0.14310503940591943,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__stripe_eps005_t014_vm04_chi200_raw60/square__two_ladder_stripe_weak_other__square_AB_two_reference_eps005_shift08_raw__none__stripe_eps005_Bshift08/20260921T075141_1573323_242b9c6650c6/diagnostics_ladder_A.h5,11fcb0e6d81a8752c29adb27988089cab0f87e419b8d14cf06cf5101c4706ca1,f1ffe424157117e244bb58533d07e344cbd6e03aca8c083c147bd72a158aebd1
square_AB_stripe_-0.4_B,square,1.4,-0.4,200,True,fixed_point,40,B,square__two_ladder__stripe_eps005_t014_vm04_chi200_raw60,3.953225064814124e-07,two_ladder,0.00208693522149274,1.3956480107462015e-07,0.9343963215756568,0.10639128965677425,0.10636666991887644,0.999537238633318,uniform_pairing,0.023187983939957822,0.011815308491852148,0.011660994598834375,0.0003036111520955281,0.00142776453227727,-0.00142776453227727,1.6827711073767122e-05,1.6503977333395702e-05,0.04737809178464165,0.049835700498596286,-0.0024576087139546385,0.010532998202395474,0.005148657811595841,4.556176815524706e-07,-2.0638617614763941e-07,0.32419894924626425,0.18109713882019465,0.1431018104260696,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__stripe_eps005_t014_vm04_chi200_raw60/square__two_ladder_stripe_weak_other__square_AB_two_reference_eps005_shift08_raw__none__stripe_eps005_Bshift08/20260921T075141_1573323_242b9c6650c6/diagnostics_ladder_B.h5,db82007bd0bef8dd4d90e6a65e5be6d2325e6622e8d8aa4a3bd8956a429949d3,f1ffe424157117e244bb58533d07e344cbd6e03aca8c083c147bd72a158aebd1
square_AB_pairing_-0.4_A,square,1.4,-0.4,200,True,fixed_point,40,A,square__two_ladder__pairing_eps005_t014_vm04_chi200_raw60,1.9221471394459669e-07,two_ladder,0.0020870296508523605,4.795687968812131e-07,0.9343989886875365,0.10639099677978897,0.10636638627776791,0.9995374109407861,uniform_pairing,0.023187274144603618,0.011814678813363292,0.011660930480944697,0.00030361201082552497,0.001427598084270831,-0.001427598084270831,1.682735350468927e-05,1.65038446100853e-05,0.04737724925714557,0.04983464732122101,-0.002457398064075439,0.010533306028282181,0.005148874188824347,4.5603333692511786e-07,-2.064373100107225e-07,0.324203088005479,0.18109787857074,0.14310520943473898,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__pairing_eps005_t014_vm04_chi200_raw60/square__two_ladder_pairing_weak_other__square_AB_two_reference_eps005_shift08_raw__none__pairing_eps005_Bshift08/20260921T075209_1767067_242b9c6650c6/diagnostics_ladder_A.h5,40a14addf8771cde64ca36cc56a43da4c43aa19ee402db016a8b6e47b167458d,f02014387006d2b0d4f8c21c7b177c7d1415fb908f35012e900ec4ad3c5566de
square_AB_pairing_-0.4_B,square,1.4,-0.4,200,True,fixed_point,40,B,square__two_ladder__pairing_eps005_t014_vm04_chi200_raw60,4.6587680414215266e-07,two_ladder,0.002086995689152371,2.160654396535642e-07,0.9343956203844525,0.10639134738133553,0.10636672506834018,0.999537190487545,uniform_pairing,0.023188167210819958,0.011815475050912605,0.011661006865468641,0.0003036102530404999,0.001427808559470187,-0.001427808559470187,1.682735462606662e-05,1.650348968644621e-05,0.047378309711325284,0.04983597605171395,-0.002457666340388666,0.010532875628737927,0.005148625004794697,4.556280968023939e-07,-2.0637617232965827e-07,0.3241977913179572,0.18109693059172569,0.1431008607262315,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__pairing_eps005_t014_vm04_chi200_raw60/square__two_ladder_pairing_weak_other__square_AB_two_reference_eps005_shift08_raw__none__pairing_eps005_Bshift08/20260921T075209_1767067_242b9c6650c6/diagnostics_ladder_B.h5,74906a93ad930652688bbbe578e1e2e4f8ec287de827aecba459cee6664a33a0,f02014387006d2b0d4f8c21c7b177c7d1415fb908f35012e900ec4ad3c5566de
square_AB_stripe_-0.2_A,square,1.4,-0.2,200,True,fixed_point,55,A,square__two_ladder__stripe_eps005_t014_vm02_chi200_raw60,2.8645926066113436e-08,two_ladder,0.003208841577974791,1.052708012119676e-06,0.9313710739455737,0.10005163265738388,0.10002035591992578,0.9993748857868656,uniform_pairing,0.022007578248759055,0.011963143749826414,0.010296207099543693,0.0002475421517532656,0.0014916080795082912,-0.0014916080795082912,1.5567378870762317e-05,1.3110049140740127e-05,0.04732952460807185,0.05089070609363249,-0.003561181485560644,0.010044142211961775,0.00497132981149462,3.9275474378638387e-07,-1.8935118057364994e-07,0.3171775515532786,0.1792860617230819,0.1378914898301967,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__stripe_eps005_t014_vm02_chi200_raw60/square__two_ladder_stripe_weak_other__square_AB_two_reference_eps005_shift08_raw__none__stripe_eps005_Bshift08/20260921T175904_2265745_ba35d00e04fa/diagnostics_ladder_A.h5,be14de810f6c43ae55d8dfb8c49b88f98681e33f67a49809d1e21dc9bc50040b,629a52111b4893306944ad18ffde74e759f41491709b51ee0d8e29cf231c4ac0
square_AB_stripe_-0.2_B,square,1.4,-0.2,200,True,fixed_point,55,B,square__two_ladder__stripe_eps005_t014_vm02_chi200_raw60,4.021732122523082e-08,two_ladder,0.00320969774276135,1.0926378122970412e-06,0.9313668691372118,0.10005097947018374,0.1000196787871337,0.9993744031882946,uniform_pairing,0.022008586119832054,0.011964258836704966,0.010296101614024536,0.00024755146126919004,0.001491875367286451,-0.001491875367286451,1.556449625812442e-05,1.3103744090768477e-05,0.04733061242298831,0.05089229812631993,-0.003561685703331617,0.010043710611131818,0.0049712415574493475,3.9290269576399837e-07,-1.893958594404801e-07,0.31717242555767017,0.1792848092877537,0.13788761626991647,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__stripe_eps005_t014_vm02_chi200_raw60/square__two_ladder_stripe_weak_other__square_AB_two_reference_eps005_shift08_raw__none__stripe_eps005_Bshift08/20260921T175904_2265745_ba35d00e04fa/diagnostics_ladder_B.h5,6025e61f903f832a017e934585b502d85348baea163302beeb75ec582269b9ce,629a52111b4893306944ad18ffde74e759f41491709b51ee0d8e29cf231c4ac0
square_AB_pairing_-0.2_A,square,1.4,-0.2,200,True,fixed_point,44,A,square__two_ladder__pairing_eps005_t014_vm02_chi200_raw60,5.047246623879516e-08,two_ladder,0.003209550504599594,1.0763523698605324e-06,0.9313681497265162,0.100051047396295,0.10001975194842078,0.9993745082303132,uniform_pairing,0.022008298682425535,0.01196396580766211,0.010296113598824356,0.00024755193551603746,0.00149179301249235,-0.00149179301249235,1.556551134220261e-05,1.3105537439909073e-05,0.04733032812746549,0.050891813625422666,-0.0035614854979571786,0.010043832484712748,0.004971240687802143,3.927565291695502e-07,-1.8934658199764665e-07,0.31717381683632784,0.17928519490222014,0.1378886219341077,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__pairing_eps005_t014_vm02_chi200_raw60/square__two_ladder_pairing_weak_other__square_AB_two_reference_eps005_shift08_raw__none__pairing_eps005_Bshift08/20260921T181156_2318927_ba35d00e04fa/diagnostics_ladder_A.h5,7a6f17fdd417c965bc7a0aa49ec006d5f2d9144d16ebb3351407489baa6fbcdf,6301bd437328f76bebc7b259d4a599ffa372ef8ffcf6a91a32aa402aa9486b4f
square_AB_pairing_-0.2_B,square,1.4,-0.2,200,True,fixed_point,44,B,square__two_ladder__pairing_eps005_t014_vm02_chi200_raw60,5.030114009259984e-08,two_ladder,0.0032089076044864596,1.0425265749056836e-06,0.9313709155446107,0.10005161488894196,0.10002033706829844,0.9993748640301038,uniform_pairing,0.022007609167036923,0.01196317714000726,0.010296203686883354,0.00024754201798417243,0.0014916175522056367,-0.0014916175522056367,1.5567244202967982e-05,1.3109812071334354e-05,0.04732955459348317,0.050890766902693584,-0.0035612123092104153,0.010044126954023333,0.004971324554574312,3.9275068976772677e-07,-1.8934963080931567e-07,0.31717735523095075,0.1792860130743866,0.13789134215656415,output/phase1_gpu/20260920_square_two_ladder_two_basin_60/results/square__two_ladder__pairing_eps005_t014_vm02_chi200_raw60/square__two_ladder_pairing_weak_other__square_AB_two_reference_eps005_shift08_raw__none__pairing_eps005_Bshift08/20260921T181156_2318927_ba35d00e04fa/diagnostics_ladder_B.h5,4e27dec8a8b01cebdf713e71cc7db761f27e7fca43e2215eb585794b81435b8c,6301bd437328f76bebc7b259d4a599ffa372ef8ffcf6a91a32aa402aa9486b4f
