family,rung,holes,staggered_sz,pair_rung,pair_leg_to_next
pairing_weak_other,49,0.06135948039372774,0.016931991465668955,-0.05053261525192772,0.03327847269912767
pairing_weak_other,50,0.06188517949176009,0.0159330675540892,-0.04999912898513279,0.03289105164424171
pairing_weak_other,51,0.06334150239422154,0.014170638972467231,-0.04939546957574011,0.032483107748338
pairing_weak_other,52,0.0658321973242012,0.011417693672782767,-0.04881526570847447,0.03212836108893162
pairing_weak_other,53,0.06906811072953112,0.007598817475122477,-0.048380802115471855,0.03191509094601541
pairing_weak_other,54,0.07237305066055366,0.0029079239538939566,-0.04822460521577194,0.031929760028393796
pairing_weak_other,55,0.07496354528330551,-0.0021592923611548354,-0.04845562847636417,0.032228352098718355
pairing_weak_other,56,0.07630211606909709,-0.006944679688896338,-0.04910940479813225,0.03279959522650518
pairing_weak_other,57,0.07614951819006721,-0.010910929119589963,-0.050086983344469094,0.033520306098895045
pairing_weak_other,58,0.07428358879933872,-0.013820152177603684,-0.05112389214016383,0.034162908316078947
pairing_weak_other,59,0.07018777372780471,-0.015706442170432988,-0.051791856859729785,0.034394122222196455
pairing_weak_other,60,0.06309950835963707,-0.016768196496538962,-0.05135180424221489,0.03350019699783473
pairing_weak_other,61,0.052924335663256716,-0.017253368776835254,-0.048822645116093716,0.030951785593614625
pairing_weak_other,62,0.040565222589074246,-0.017193467735031137,-0.044917771567006035,0.028943645518626063
pairing_weak_other,63,0.02632314092267163,-0.01668061314405274,-0.039801949370587786,0.024502830322041362
pairing_weak_other,64,0.016362672491606722,-0.016379245377328225,-0.02193554834159224,
intertwined_lambda08,1,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,2,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,3,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,4,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,5,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,6,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,7,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,8,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,9,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,10,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,11,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,12,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,13,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,14,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,15,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,16,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,17,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,18,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,19,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,20,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,21,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,22,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,23,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,24,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,25,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,26,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,27,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,28,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,29,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,30,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,31,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,32,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,33,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,34,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,35,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,36,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,37,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,38,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,39,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,40,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,41,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,42,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,43,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,44,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,45,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,46,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,47,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,48,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,49,0.014395589042552004,0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,50,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,51,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,52,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,53,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,54,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,55,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,56,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.005597069027891845
intertwined_lambda08,57,0.014395589042552004,-0.30027311074315455,0.010535790728828862,-0.008564204190988484
intertwined_lambda08,58,0.04257450057145595,-0.25455925161503634,0.019606326787750965,-0.015727502143130498
intertwined_lambda08,59,0.08242549942854394,-0.17009105401389107,0.032434001900272805,-0.02289080009527251
intertwined_lambda08,60,0.110604410957448,-0.05972803531837512,0.04150453795919491,-0.02585793525836915
intertwined_lambda08,61,0.110604410957448,0.05972803531837512,0.04150453795919491,-0.02289080009527251
intertwined_lambda08,62,0.08242549942854394,0.17009105401389107,0.032434001900272805,-0.015727502143130498
intertwined_lambda08,63,0.04257450057145595,0.25455925161503634,0.019606326787750965,-0.008564204190988484
intertwined_lambda08,64,0.014395589042552004,0.30027311074315455,0.010535790728828862,
intertwined_lambda16,1,0.011432629710620201,0.30468158486134667,0.009582040991766141,-0.006368202332486953
intertwined_lambda16,2,0.0192071739103139,0.2929728424225264,0.0120845962601863,-0.008564204190988484
intertwined_lambda16,3,0.03357265843171642,0.27000531795047145,0.016708715443129653,-0.011850753227246
intertwined_lambda16,4,0.05234206847988587,0.2366616405303065,0.022750418312737844,-0.015727502143130498
intertwined_lambda16,5,0.07265793152011413,0.19422318898593904,0.02928991037528593,-0.01960425105901499
intertwined_lambda16,6,0.09142734156828358,0.14432084921046115,0.03533161324489412,-0.02289080009527251
intertwined_lambda16,7,0.1057928260896861,0.08887234013588993,0.039955732427837475,-0.02508680195377404
intertwined_lambda16,8,0.11356737028937969,0.03000851687007894,0.04245828769625763,-0.02585793525836915
intertwined_lambda16,9,0.11356737028937969,-0.03000851687007894,0.04245828769625763,-0.02508680195377404
intertwined_lambda16,10,0.1057928260896861,-0.08887234013588993,0.039955732427837475,-0.02289080009527251
intertwined_lambda16,11,0.09142734156828358,-0.14432084921046115,0.03533161324489412,-0.01960425105901499
