rung,density,holes,staggered_sz_leg_odd,pair_rung,pair_leg_to_next
53,0.9067628392524891,0.09323716074751087,0.18516960981468333,0.02891750480235027,-0.020056146243410445
54,0.8815120571437456,0.11848794285625441,0.09944919864669968,0.03695602748713349,-0.023994232153199242
55,0.8718751128083909,0.12812488719160908,-0.00342365432437243,0.040147155081526754,-0.023824809006658516
56,0.8826607812524458,0.11733921874755415,-0.1056199151641556,0.03649070900510265,-0.019668940802034726
57,0.9084952015626022,0.09150479843739778,-0.18975716320677888,0.02824668308428304,-0.014020778262112385
58,0.938399599592481,0.06160040040751902,-0.24848291235629044,0.01948919739900038,-0.009189310395374252
59,0.9636389434277276,0.0363610565722724,-0.2846684603398956,0.01262759647876563,-0.005829939237882095
60,0.9810538925620135,0.018946107437986526,-0.3045396710046907,0.007935570133115464,-0.0036174590653032905
61,0.9913029242791922,0.008697075720807801,-0.3122600514402497,0.004767991056707627,-0.002032008209316017
62,0.9964071216537531,0.003592878346246886,-0.30788112480376373,0.0026190454633538327,-0.0010730664997617673
63,0.997682864491304,0.0023171355086960554,-0.29445902540488333,0.0014067397103360157,-0.0006131129785080095
64,1.001014184179562,-0.0010141841795618944,-0.25150068585548324,0.0005264655718357995,
