campaign,family,t0,V,segment_iteration,cumulative_iteration,corrected_energy_per_site,spin_rms,pair_rms
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,57,57,-1.045251165089998,0.3415383679881982,1.924253947246949e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,58,58,-1.0452511589387625,0.34153843382938603,6.20390554920744e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,59,59,-1.045251164495452,0.34153848566455014,2.5911481079241633e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,stripe,1.0,-0.4,60,60,-1.0452511661583181,0.34153852489945297,8.379691680400884e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,1,1,-1.0202943443409047,0.07998963901039283,0.021930746755293475
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,2,2,-1.0215641617594995,0.24503438554612683,0.010624145816612215
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,3,3,-1.0352741939504801,0.31989841783930817,0.002504361976462992
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,4,4,-1.0429919010501885,0.33712564763156017,0.0005600492228516595
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,5,5,-1.0448131362452082,0.34066222593464834,0.000126556620438734
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,6,6,-1.0451625038154198,0.3414050794508283,2.9178367053778574e-05
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,7,7,-1.0452324359702085,0.34156625986942735,6.716760071463377e-06
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,8,8,-1.0452471004192048,0.34160212983065397,1.5503097245310352e-06
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,9,9,-1.0452502913264483,0.34161027717424325,3.5751909058914304e-07
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,10,10,-1.045251003289506,0.3416121924437608,8.248150425025943e-08
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,11,11,-1.0452511626098175,0.34161270009490013,1.902499814431976e-08
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,12,12,-1.0452512012909878,0.34161287490110004,4.388214414478484e-09
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,13,13,-1.045251209071962,0.34161297890304115,1.0119507076366898e-09
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,14,14,-1.0452512126674691,0.34161305943283704,2.333508123010494e-10
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,15,15,-1.045251210269082,0.3416131472135962,5.389604731533931e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,16,16,-1.0452512119755974,0.3416132295477191,1.2285049017590326e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,17,17,-1.0452512123275461,0.341613308609226,3.4097971062819474e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,18,18,-1.0452512120182749,0.34161338944279884,8.283605257250202e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,19,19,-1.0452512122889046,0.3416134687900298,2.1140932173172412e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,20,20,-1.0452512121395232,0.34161355107318525,1.1328896117660917e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,21,21,-1.0452512124472066,0.34161363028892033,4.3982328021360203e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,22,22,-1.045251213355643,0.3416137076771853,2.1298589594644864e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,23,23,-1.0452512108247984,0.34161379504796563,1.0642428766495463e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,24,24,-1.0452512143393873,0.34161386626703283,1.506625772354153e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,25,25,-1.045251211235551,0.3416139503538454,6.301161330937412e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,26,26,-1.0452512121731505,0.3416140354136053,2.788546003576379e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,27,27,-1.0452512137477974,0.3416141112610588,5.458024446635515e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,28,28,-1.0452512109951664,0.341614200018943,2.0830084562726232e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,29,29,-1.0452512128830462,0.34161428041369296,7.588850581818638e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,30,30,-1.045251214501229,0.3416143520928285,1.3060459700013158e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,31,31,-1.0452512152214377,0.34161442814981463,2.1788841612525394e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,32,32,-1.0452512178082694,0.3416144886774932,1.9331074658537426e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,33,33,-1.0452512134382552,0.3416145710604739,1.095162651230422e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,34,34,-1.0452512057433574,0.34161468121237115,7.719488698540496e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,35,35,-1.0452512225820556,0.3416147269040359,1.8585367334193942e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,36,36,-1.045251204531179,0.34161484330417025,1.2429482895473099e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,37,37,-1.045251213448142,0.34161492514706654,7.65083235923402e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,38,38,-1.0452512129430922,0.34161500802181155,1.2198257175929201e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,39,39,-1.0452512151028395,0.3416150791472363,1.7671983077499146e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,40,40,-1.045251211078783,0.34161517223666193,1.9869008969764166e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,41,41,-1.0452512136789038,0.34161525173975654,3.2007240767989797e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,42,42,-1.0452512135146521,0.3416153330633628,1.106755660885271e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,43,43,-1.0452512137425707,0.3416154110737562,9.45473676084338e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,44,44,-1.045251215071198,0.3416155057478337,3.638340883131884e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,45,45,-1.0452512132336829,0.3416156045304484,9.791135436075364e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,46,46,-1.0452512129426437,0.3416156908161906,6.203692470132554e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,47,47,-1.0452512230547633,0.3416157384643378,1.0414643825515977e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,48,48,-1.0452512056565955,0.34161585712040343,6.997057728167662e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,49,49,-1.0452512146323203,0.34161594013614066,1.4969744499927702e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,50,50,-1.0452512138900314,0.3416160260627331,6.769434926382669e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,51,51,-1.0452512139048955,0.34161611105774325,5.868224125182353e-13
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,52,52,-1.045251223544413,0.3416161597824712,1.642965839230014e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,53,53,-1.0452512156835254,0.34161624023889453,1.5355312034824456e-11
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,54,54,-1.0452512063350614,0.3416163588841545,2.5512521761663312e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,55,55,-1.045251215763267,0.3416164394066718,1.7405517854576558e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,56,56,-1.04525121318504,0.3416165267456277,2.0112626741832213e-12
20260915_cubic_unfrustrated_two_basin_95_5_60,pairing,1.0,-0.4,57,57,-1.0452512229920432,0.34161657899054404,5.075711805127581e-12
