id,reference,direction,window_low,window_high,actual_low,actual_high,points,fit,exponent_or_inverse_length,r2,log_rmse,sign_changes,minimum_magnitude
backfill_3,24,-1,8,20,8,15,8,exponential,0.6625646378985715,0.7656777910535094,0.8398304290975861,0,3.6221531503545967e-06
backfill_3,24,1,4,12,4,12,9,power,6.874386932776665,0.9222051895931838,0.698481053778391,0,6.25843406216704e-06
backfill_3,24,1,4,12,4,12,9,exponential,0.9595396698741978,0.9787594662535518,0.36497408626152644,0,6.25843406216704e-06
backfill_3,24,1,8,20,8,20,13,power,5.215296659031929,0.8390956981302602,0.6440611108010783,0,1.2031837510870144e-06
backfill_3,24,1,8,20,8,20,13,exponential,0.37764430600094223,0.7744750288059036,0.7625012624026806,0,1.2031837510870144e-06
backfill_3,24,1,12,28,12,28,17,power,11.324871624574671,0.7965008792082849,1.466278629598944,0,5.856044897661841e-10
backfill_3,24,1,12,28,12,28,17,exponential,0.6218638239143732,0.8784789412567773,1.13308113435329,0,5.856044897661841e-10
backfill_3,32,-1,4,12,4,12,9,power,0.9026867987809322,0.45511708986708477,0.3455303797347995,0,0.00011445719737328231
backfill_3,32,-1,4,12,4,12,9,exponential,0.14054355960313358,0.6009818421958238,0.2956861439483903,0,0.00011445719737328231
backfill_3,32,-1,8,20,8,20,13,power,9.90219759408708,0.8722844114965984,1.0685490588573443,0,5.488061409842547e-08
backfill_3,32,-1,8,20,8,20,13,exponential,0.7754937975572401,0.9417587622380346,0.7215855201626007,0,5.488061409842547e-08
backfill_3,32,-1,12,28,12,23,12,power,13.67159863279662,0.9439646871074521,0.6758007067026367,0,5.488061409842547e-08
backfill_3,32,-1,12,28,12,23,12,exponential,0.7971918978894983,0.9291911439132569,0.7596814644875926,0,5.488061409842547e-08
backfill_3,32,1,4,12,4,12,9,power,1.4503510442729557,0.6403849065770753,0.38021624516912966,0,0.00014354933345956202
backfill_3,32,1,4,12,4,12,9,exponential,0.21633101836190496,0.7761093298814667,0.3000058415418882,0,0.00014354933345956202
backfill_3,32,1,8,20,8,20,13,power,10.654540458163527,0.8916203416528058,1.0475833970509043,0,6.984814002534796e-08
backfill_3,32,1,8,20,8,20,13,exponential,0.8305758033367413,0.9537996299955835,0.6839706165697558,0,6.984814002534796e-08
backfill_3,32,1,12,28,12,24,13,power,12.762533295641115,0.9185815067069583,0.8150394879293602,0,6.984814002534796e-08
backfill_3,32,1,12,28,12,24,13,exponential,0.7170381573898716,0.8822229084325022,0.9802741098323808,0,6.984814002534796e-08
backfill_4,16,1,4,12,4,12,9,power,0.7689529150834566,0.39433069082496786,0.3333852384192387,0,0.00011008638993599555
backfill_4,16,1,4,12,4,12,9,exponential,0.12176336910644193,0.5386229921845177,0.2909755894720447,0,0.00011008638993599555
backfill_4,16,1,8,20,8,20,13,power,9.58111407627902,0.8691307307356086,1.0484851308970937,0,6.431025777896982e-08
backfill_4,16,1,8,20,8,20,13,exponential,0.7508389981585911,0.9395822514518235,0.7124029445573719,0,6.431025777896982e-08
backfill_4,16,1,12,28,12,28,17,power,10.897553286985387,0.9265108389244638,0.7861591480582928,0,1.5479340174121994e-08
backfill_4,16,1,12,28,12,28,17,exponential,0.554491346529886,0.8774111161886081,1.0153701059258453,0,1.5479340174121994e-08
backfill_4,24,-1,4,12,4,12,9,power,7.358263715694357,0.9028574200169184,0.8443639917201343,0,2.27185108447742e-06
backfill_4,24,-1,4,12,4,12,9,exponential,1.0342918851811032,0.9717290819071059,0.4555067780105313,0,2.27185108447742e-06
backfill_4,24,-1,8,20,8,15,8,power,8.720392653901369,0.8589587192523124,0.7242262533370702,0,2.27185108447742e-06
backfill_4,24,-1,8,20,8,15,8,exponential,0.752564118954834,0.7995470668155236,0.8633906681204732,0,2.27185108447742e-06
backfill_4,24,1,4,12,4,12,9,power,6.95444904685715,0.9116207161908653,0.7575128429384563,0,4.792312609939891e-06
backfill_4,24,1,4,12,4,12,9,exponential,0.9746642916791001,0.9754147730065978,0.39953227900851224,0,4.792312609939891e-06
backfill_4,24,1,8,20,8,20,13,power,5.478065815860028,0.8312429336449925,0.6960881254056558,0,1.1587047464268344e-06
backfill_4,24,1,8,20,8,20,13,exponential,0.3941835669138677,0.7576324760485056,0.8342005170316132,0,1.1587047464268344e-06
backfill_4,24,1,12,28,12,28,17,power,10.86593823676087,0.7664862605041933,1.5362657300031433,0,2.6802768630331806e-10
backfill_4,24,1,12,28,12,28,17,exponential,0.5996021715189034,0.8537238004673997,1.215897477473545,0,2.6802768630331806e-10
backfill_4,32,-1,4,12,4,12,9,power,0.950650144476525,0.4735880850480654,0.35062454485501193,0,0.00012081553343603975
backfill_4,32,-1,4,12,4,12,9,exponential,0.1473344606261045,0.6196671830922807,0.2980309447608281,0,0.00012081553343603975
