id,geometry,t0,V,chi,accepted,status,iteration,ladder,label,residual,spin_rms,short_raw_mean,short_raw_abs,short_connected_mean,short_connected_abs,long_raw_mean,long_raw_abs,long_connected_mean,long_connected_abs,rung_anomalous_rms,leg0_mean_2_8,leg0_negative_fraction_2_8,leg1_mean_2_8,leg1_negative_fraction_2_8,rung_leg0_mean_2_8,rung_leg0_negative_fraction_2_8,rung_leg1_mean_2_8,rung_leg1_negative_fraction_2_8
backfill_31,cubic_unfrustrated,1.4,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t014_vm04_chi200_raw,3.886973467315605e-05,0.28022404061297446,0.010342583944363432,0.010342583944363432,0.010342583944363432,0.010342583944363432,1.3937288809029268e-07,1.3937288809029268e-07,1.3937288809029268e-07,1.3937288809029268e-07,9.30626949528942e-12,0.001951402081799119,0.06722689075630252,0.0019515262366484772,0.06722689075630252,-0.003750075480104843,1.0,-0.00375206207314038,1.0
backfill_32,cubic_unfrustrated,1.4,-0.4,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t014_vm04_chi200_raw,5.548909962709708e-05,0.28035727680919564,0.010064303943177547,0.010064303943177547,0.010064303943177547,0.010064303943177547,1.2935031665233836e-07,1.2935031665233836e-07,1.2935031665233836e-07,1.2935031665233836e-07,7.847260534938003e-12,0.0018963100127493166,0.06722689075630252,0.0018964656028506886,0.06722689075630252,-0.0036567221863534668,1.0,-0.0036586431104195334,1.0
backfill_33,cubic_unfrustrated,1.4,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t014_vm02_chi200_raw,7.765602816112854e-06,0.29606683105590426,0.008042396755509976,0.008042396755509976,0.008042396755509976,0.008042396755509976,8.555795392304643e-09,8.555795392304643e-09,8.555795392304648e-09,8.555795392304648e-09,3.852556367575632e-12,0.0013916095482799239,0.10084033613445378,0.001391720812952778,0.11428571428571428,-0.00288491267535231,1.0,-0.002886470660751465,1.0
backfill_34,cubic_unfrustrated,1.4,-0.2,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t014_vm02_chi200_raw,8.01696083442549e-06,0.2960832741460129,0.00799741582145077,0.00799741582145077,0.00799741582145077,0.00799741582145077,8.410108881973607e-09,8.410108881973607e-09,8.410108881973629e-09,8.410108881973629e-09,6.515292084801572e-12,0.0013827142699591231,0.09411764705882353,0.0013828324956234029,0.11428571428571428,-0.002869758675245,1.0,-0.0028713042692065636,1.0
backfill_35,cubic_unfrustrated,1.4,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__stripe_weak_other_t014_v000_chi200_raw,2.2070373173269098e-06,0.32200642392636736,0.005657541045144593,0.005657541045144593,0.005657541045144593,0.005657541045144593,5.416194951996481e-11,5.416194951996481e-11,5.416194951995162e-11,5.416194951995162e-11,1.2637493331073078e-11,0.0008489561542139981,0.21512605042016808,0.0008491008600191015,0.21512605042016808,-0.002044412630127932,1.0,-0.0020452357830852246,1.0
backfill_36,cubic_unfrustrated,1.4,0.0,200,False,maximum_iterations,60,,cubic_unfrustrated__pairing_weak_other_t014_v000_chi200_raw,2.4941697693153797e-06,0.3220128705759284,0.005635316608422312,0.005635316608422312,0.005635316608422312,0.005635316608422312,5.252270082011926e-11,5.252270082011926e-11,5.2522700820119474e-11,5.2522700820119474e-11,1.7218422561957865e-12,0.0008447714681421404,0.21512605042016808,0.0008449096725840489,0.21512605042016808,-0.0020369378292333863,1.0,-0.0020377557425893763,1.0
backfill_37,square,1.4,-0.05,200,False,maximum_iterations,60,,square__stripe_weak_other_t01400_vm0050_chi200_raw,5.709757946182519e-05,0.14469482903354394,0.016201587037223332,0.016201587037223332,0.016201574571829268,0.016201574571829268,0.00028723016923624776,0.00028723016923624776,0.00028721804098334915,0.00028721804098334915,0.00011032582791860977,0.004977992068714216,0.0,0.004978249776127508,0.0,-0.008076552219165445,1.0,-0.00809229629027315,1.0
backfill_38,square,1.4,-0.05,200,False,maximum_iterations,60,,square__pairing_weak_other_t01400_vm0050_chi200_raw,6.5797945174640195e-06,0.0056057611534427775,0.020701628641855478,0.020701628641855478,0.01124730525236122,0.01124730525236122,0.00964812010835025,0.00964812010835025,0.00018434512294234992,0.00018434512294234992,0.097115806313703,0.003397476028692918,0.0,0.0033969327013037157,0.0,-0.00571000203095535,1.0,-0.005723341063622294,1.0
backfill_39,square,1.4,-0.1,200,False,maximum_iterations,60,,square__stripe_weak_other_t01400_vm0100_chi200_raw,2.1548563466121883e-05,0.00043806087924378064,0.02114539270057418,0.02114539270057418,0.011519105463182204,0.011519105463182204,0.009839871603880147,0.009839871603880147,0.0002059140746293338,0.0002059140746293338,0.09797851842615828,0.0034736699434698916,0.0,0.0034733067810286894,0.0,-0.0058469647241060265,1.0,-0.005859897190085035,1.0
backfill_40,square,1.4,-0.1,200,False,maximum_iterations,60,,square__pairing_weak_other_t01400_vm0100_chi200_raw,1.3347724167373128e-06,2.595084698731221e-05,0.021144970145047178,0.021144970145047178,0.011518633006823499,0.011518633006823499,0.009839921066869334,0.009839921066869334,0.00020591325652850987,0.00020591325652850987,0.09797880528797115,0.003473536557690058,0.0,0.003473173577691217,0.0,-0.0058467640709832505,1.0,-0.005859696160803413,1.0
