id,kind,channel,r,mean,mean_absolute,p10,p90
backfill_11,raw,leg0,22,3.7862357006469576e-06,3.7862357006469576e-06,2.3253077218668974e-07,9.717368969790006e-06
backfill_11,raw,leg0,23,2.6486928100523396e-06,2.6486928100523396e-06,1.2519336710342104e-07,7.384154890918822e-06
backfill_11,raw,leg0,24,1.798949561308382e-06,1.798949561308382e-06,9.574237264839059e-08,4.7397449278040966e-06
backfill_11,raw,leg0,25,1.1923447215669938e-06,1.1923447215669938e-06,1.113465112438019e-07,3.396791125176467e-06
backfill_11,raw,leg0,26,7.801198423431566e-07,7.801198423431566e-07,8.60013253362948e-08,2.042997763811771e-06
backfill_11,raw,leg0,27,5.103238790875007e-07,5.103238790875007e-07,9.68447320524344e-08,1.3699362700292822e-06
backfill_11,raw,leg0,28,3.359713425922557e-07,3.359713425922557e-07,9.653978667556176e-08,8.030192740680553e-07
backfill_11,raw,leg0,29,2.2273949191770845e-07,2.2273949191770845e-07,9.568747459359009e-08,4.833535243329484e-07
backfill_11,raw,leg0,30,1.4921967473129232e-07,1.4921967473129232e-07,7.249772971164205e-08,2.7410626273163773e-07
backfill_11,raw,leg0,31,1.0110654968450618e-07,1.0110654968450618e-07,4.869320456458343e-08,1.5803242672207886e-07
backfill_11,raw,leg0,32,6.89776147641185e-08,6.89776147641185e-08,3.070126779268388e-08,1.147304512656916e-07
backfill_11,raw,leg1,1,0.08747053693432157,0.08747053693432157,0.04988087566973649,0.13492052750741912
backfill_11,raw,leg1,2,0.002174654896242344,0.0023592405554017848,-0.0003294048651815553,0.006436574847807417
backfill_11,raw,leg1,3,0.0028905225138349173,0.0028905225138349173,0.00044571805344095235,0.006355234103544567
backfill_11,raw,leg1,4,0.0022334146517831313,0.0022334146517831313,0.00014986051118183295,0.005383220337028174
backfill_11,raw,leg1,5,0.002088264534056278,0.002088264534056278,0.0001690526576358722,0.004822303987341746
backfill_11,raw,leg1,6,0.0014242977036775552,0.0014242977036775552,9.016464136745345e-05,0.003498083020603697
backfill_11,raw,leg1,7,0.0010694203037561996,0.0010694203037561996,6.735918304053888e-05,0.002532514308068478
backfill_11,raw,leg1,8,0.0007534590311763407,0.0007534590311763407,3.473536399894489e-05,0.0018818934698394854
backfill_11,raw,leg1,9,0.0005121041863782759,0.0005121041863782759,2.871484347771039e-05,0.0012681080833666426
backfill_11,raw,leg1,10,0.00033906399188265697,0.00033906399188265697,2.810945508777513e-05,0.0008572358240885455
backfill_11,raw,leg1,11,0.0002192837640797525,0.0002192837640797525,2.4329135284843495e-05,0.0005616072114224443
backfill_11,raw,leg1,12,0.00014052403664559078,0.00014052403664559078,2.6632101064736114e-05,0.0003422841017787172
backfill_11,raw,leg1,13,8.967536259445358e-05,8.967536259445358e-05,2.7928019288355277e-05,0.00021170577122708834
backfill_11,raw,leg1,14,5.763900996695481e-05,5.763900996695481e-05,2.4375719900063223e-05,0.00011883148180658579
backfill_11,raw,leg1,15,3.786197980913196e-05,3.786197980913196e-05,1.810807359222435e-05,6.764001573748043e-05
backfill_11,raw,leg1,16,2.5706775599715116e-05,2.5706775599715116e-05,1.2744104246618382e-05,3.9782119958213914e-05
backfill_11,raw,leg1,17,1.8088407642327734e-05,1.8088407642327734e-05,8.055039918761113e-06,3.31634328037184e-05
backfill_11,raw,leg1,18,1.3111948123647354e-05,1.3111948123647354e-05,4.733444445084472e-06,2.651425149075398e-05
backfill_11,raw,leg1,19,9.678227709167814e-06,9.678227709167814e-06,2.5755039012900328e-06,2.1313226598708355e-05
backfill_11,raw,leg1,20,7.1738502679504245e-06,7.1738502679504245e-06,1.2002846992058983e-06,1.712018442745813e-05
backfill_11,raw,leg1,21,5.2675377446513265e-06,5.2675377446513265e-06,4.92872106807596e-07,1.3883964105257055e-05
backfill_11,raw,leg1,22,3.7883366368423816e-06,3.7883366368423816e-06,2.44207931826339e-07,9.723049050364537e-06
backfill_11,raw,leg1,23,2.6498007774486545e-06,2.6498007774486545e-06,1.2069021700448456e-07,7.387120361484327e-06
backfill_11,raw,leg1,24,1.7996995862182633e-06,1.7996995862182633e-06,1.000482665871249e-07,4.7393048054495475e-06
backfill_11,raw,leg1,25,1.1929582783976054e-06,1.1929582783976054e-06,1.1478403198308508e-07,3.3974013763997553e-06
backfill_11,raw,leg1,26,7.809601837305453e-07,7.809601837305453e-07,8.651747541825144e-08,2.0468462302809988e-06
backfill_11,raw,leg1,27,5.106660138691965e-07,5.106660138691965e-07,9.715054925602983e-08,1.3692226782832161e-06
backfill_11,raw,leg1,28,3.3578297246079893e-07,3.3578297246079893e-07,9.640920842954045e-08,8.028665780281133e-07
backfill_11,raw,leg1,29,2.226349886706568e-07,2.226349886706568e-07,9.519597129878936e-08,4.841606396364551e-07
backfill_11,raw,leg1,30,1.4913259022521008e-07,1.4913259022521008e-07,7.464339654422283e-08,2.7508430421323694e-07
backfill_11,raw,leg1,31,1.0103475742591691e-07,1.0103475742591691e-07,5.064063781097757e-08,1.5844215721272038e-07
backfill_11,raw,leg1,32,6.892873919907385e-08,6.892873919907385e-08,3.217532352206977e-08,1.1488397708054297e-07
backfill_11,connected,rung,1,0.05661238847226191,0.05661238847226191,0.0495927880657421,0.06672104165289236
backfill_11,connected,rung,2,0.016757396245376407,0.016757396245376407,0.005230069694919214,0.03376517451855998
backfill_11,connected,rung,3,0.008414078720979231,0.008414078720979231,0.0009454470797917655,0.018738219756397934
backfill_11,connected,rung,4,0.007324433988949431,0.007324433988949431,0.0007224384543192751,0.01653782546275835
backfill_11,connected,rung,5,0.006002214263441747,0.006002214263441747,0.00039544728493719943,0.014169291513548548
backfill_11,connected,rung,6,0.004455968643061491,0.004455968643061491,0.0003698725617633746,0.010071455953012563
backfill_11,connected,rung,7,0.003254191177287919,0.003254191177287919,0.00017828233585778482,0.007880841306959449
backfill_11,connected,rung,8,0.002297535897879131,0.002297535897879131,0.0001465786483426195,0.005378514972812607
backfill_11,connected,rung,9,0.0015630781988678398,0.0015630781988678398,8.637954759887965e-05,0.003896439576866571
backfill_11,connected,rung,10,0.0010314918667254467,0.0010314918667254467,8.89571613396665e-05,0.002564915796575233
backfill_11,connected,rung,11,0.0006653005201770788,0.0006653005201770788,9.295300048195747e-05,0.0016855627859404408
