id,excluded_edge_rungs,short_connected_abs,long_connected_abs,long_raw_abs
backfill_9,8,0.012226663905518426,0.0001096594567428936,0.00010965945676091394
backfill_9,12,0.012017124608979562,0.00012014743953935321,0.00012014743954729715
backfill_10,4,0.014520209114572715,0.00012477691469288675,0.00012477692513164008
backfill_10,8,0.012367749643817186,0.00011257383720657682,0.00011257384742223829
backfill_10,12,0.012043197967165171,0.00012250374375866817,0.0001225037543566593
backfill_11,4,0.012121830828065743,3.5450088892002043e-05,3.5450088892002836e-05
backfill_11,8,0.010901843446260408,3.2249994049637786e-05,3.224999404963796e-05
backfill_11,12,0.00973908621161519,3.0878318299664923e-05,3.087831829966495e-05
backfill_12,4,0.012119201339104508,3.504614255447508e-05,3.5046142554497953e-05
backfill_12,8,0.010878534458005424,3.173800780832173e-05,3.173800780835922e-05
backfill_12,12,0.009729250828455919,3.0140501705371305e-05,3.0140501705432725e-05
backfill_13,4,0.009697694137256303,8.032842317946465e-06,8.032842319433968e-06
backfill_13,8,0.009016095194042999,7.470320098363729e-06,7.470320099873393e-06
backfill_13,12,0.007780499929259834,6.675505229540878e-06,6.675505230870893e-06
backfill_14,4,0.009700987132965277,8.10338835010432e-06,8.103388350545549e-06
backfill_14,8,0.009014001255912594,7.5111730851857084e-06,7.5111730855937395e-06
backfill_14,12,0.00777655267417381,6.59910704290978e-06,6.599107043383029e-06
backfill_15,4,0.012367976833067581,0.0002632230612946599,0.010359136199233789
backfill_15,8,0.011963453385340637,0.00024755539947320056,0.010296065668849441
backfill_15,12,0.01161074294155818,0.0002488772516900267,0.010385483960114685
backfill_16,4,0.012368728804586837,0.00026322052223777434,0.010359172710470066
backfill_16,8,0.01196412071368455,0.0002475537910917326,0.010296085157321689
backfill_16,12,0.011611450147133152,0.00024887687484727875,0.010385537983278376
backfill_17,4,0.015849581665020193,9.14973755761884e-05,9.149737557619549e-05
backfill_17,8,0.014068186403755449,8.187273907322172e-05,8.187273907322939e-05
backfill_17,12,0.01258103846015713,7.777228996788498e-05,7.777228996789444e-05
backfill_18,4,0.016060770505557497,0.00010307990121248273,0.00010307990122845941
backfill_18,8,0.015090218500187914,9.81431560114252e-05,9.814315602787558e-05
backfill_18,12,0.01289434898164661,8.986958084510663e-05,8.986958086165872e-05
backfill_19,4,0.004628534328449446,5.017716278345936e-11,5.0177162783455824e-11
backfill_19,8,0.004372630410816834,4.63922936293639e-11,4.6392293629359354e-11
backfill_19,12,0.00349649653057609,3.259119891468888e-11,3.2591198914677336e-11
backfill_20,4,0.004626627535782381,4.3473714787900724e-11,4.347371478791343e-11
backfill_20,8,0.004264253574370984,4.059257114804804e-11,4.059257114805795e-11
backfill_20,12,0.0034926933698407906,3.1739123229317836e-11,3.17391232293257e-11
backfill_21,4,0.003917237041222629,9.88295553480495e-12,9.882955534804132e-12
backfill_21,8,0.00372765954522528,9.09554200918515e-12,9.095542009184052e-12
backfill_21,12,0.0029641031780181914,5.843890049138527e-12,5.843890049137964e-12
backfill_22,4,0.003917077263133788,9.589385200326224e-12,9.589385200315131e-12
backfill_22,8,0.0037092840056244395,8.90563275431967e-12,8.905632754306962e-12
backfill_22,12,0.002963253424331841,5.852648514214333e-12,5.852648514198437e-12
backfill_23,4,0.003309276864577986,1.987313677126882e-12,1.987313677126703e-12
backfill_23,8,0.003172283670988909,1.8585742170220856e-12,1.858574217019858e-12
backfill_23,12,0.0025071664653483717,1.1780192429756025e-12,1.1780192429723818e-12
backfill_24,4,0.0033095003554419423,2.0099364005736043e-12,2.0099364005738115e-12
backfill_24,8,0.003188294635534457,1.8934774334298027e-12,1.8934774334300103e-12
backfill_24,12,0.002507464119394729,1.1421320322553248e-12,1.142132032255625e-12
backfill_25,4,0.007782004062175685,8.676688762337784e-09,8.676688762337786e-09
backfill_25,8,0.007219400116957372,8.041290914576015e-09,8.041290914576017e-09
backfill_25,12,0.005884186682875962,6.357485137946223e-09,6.357485137946223e-09
backfill_26,4,0.0077752223479739604,7.86134727648747e-09,7.861347276487467e-09
backfill_26,8,0.007073479580001875,7.367152792864411e-09,7.367152792864405e-09
backfill_26,12,0.005874940753882273,6.28530540443401e-09,6.285305404434012e-09
backfill_27,4,0.006382702506458583,1.3108406673753744e-09,1.3108406673755014e-09
backfill_27,8,0.005981985992118141,1.2027367449368772e-09,1.2027367449369672e-09
backfill_27,12,0.004835401024770073,8.770422918939805e-10,8.770422918941012e-10
backfill_28,4,0.006381973319308166,1.28269803510087e-09,1.2826980351008585e-09
backfill_28,8,0.005945207801340756,1.1839916567408986e-09,1.18399165674088e-09
backfill_28,12,0.004832759984486419,8.895174684315989e-10,8.895174684315691e-10
backfill_29,4,0.005221334021414723,1.6082035396440815e-10,1.6082035396435364e-10
backfill_29,8,0.004937414232463758,1.4853633290935668e-10,1.485363329092816e-10
backfill_29,12,0.0039607944085223706,1.0503162926806754e-10,1.0503162926795446e-10
backfill_30,4,0.00522144773751022,1.5906809301564933e-10,1.590680930156433e-10
backfill_30,8,0.004927658526666434,1.4697143364552113e-10,1.4697143364551226e-10
backfill_30,12,0.003959851585499566,1.0316178116803959e-10,1.0316178116802618e-10
backfill_31,4,0.0112895700670177,1.5059722212936617e-07,1.5059722212936617e-07
backfill_31,8,0.010342583944363432,1.3937288809029268e-07,1.3937288809029268e-07
backfill_31,12,0.00847821505183768,1.150042922165298e-07,1.150042922165298e-07
backfill_32,4,0.011273915038724549,1.3893630089659218e-07,1.3893630089659218e-07
backfill_32,8,0.010064303943177547,1.2935031665233836e-07,1.2935031665233836e-07
backfill_32,12,0.008460540190616397,1.1506256255400064e-07,1.1506256255400064e-07
backfill_33,4,0.008664488096894409,9.258393664797341e-09,9.258393664797338e-09
backfill_33,8,0.008042396755509976,8.555795392304648e-09,8.555795392304643e-09
backfill_33,12,0.006504772760214212,6.645136564998003e-09,6.645136564998002e-09
backfill_34,4,0.008663235221371452,9.099656548446849e-09,9.09965654844683e-09
backfill_34,8,0.00799741582145077,8.410108881973629e-09,8.410108881973607e-09
backfill_34,12,0.006502276922261638,6.645167400921701e-09,6.645167400921694e-09
backfill_35,4,0.005993958131236857,5.989167088256722e-11,5.98916708825791e-11
backfill_35,8,0.005657541045144593,5.416194951995162e-11,5.416194951996481e-11
backfill_35,12,0.004491162480638269,3.7005351563872326e-11,3.700535156388957e-11
backfill_36,4,0.005993664569452403,5.770834821571863e-11,5.770834821571794e-11
backfill_36,8,0.005635316608422312,5.2522700820119474e-11,5.252270082011926e-11
backfill_36,12,0.0044905725175324405,3.70894876624824e-11,3.7089487662482186e-11
backfill_37,4,0.018008495927822502,0.0003240424999288427,0.00032405421152130476
backfill_37,8,0.016201574571829268,0.00028721804098334915,0.00028723016923624776
backfill_37,12,0.014667919190890458,0.00027334061695989204,0.0002733535149579333
backfill_38,4,0.011579439820478108,0.0001958669878375952,0.00970523811593887
backfill_38,8,0.01124730525236122,0.00018434512294234992,0.00964812010835025
backfill_38,12,0.01092843501503301,0.0001853623308325178,0.009713558940797992
backfill_39,4,0.011877492403180248,0.00021896709392524874,0.00990211868738649
backfill_39,8,0.011519105463182204,0.0002059140746293338,0.009839871603880147
backfill_39,12,0.011186722927761523,0.00020699693186042894,0.009913250512041753
backfill_40,4,0.011876984744604564,0.0002189655926871657,0.009902201167606836
backfill_40,8,0.011518633006823499,0.00020591325652850987,0.009839921066869334
