branch	seed	iteration	chemical_potential	density	mu_evaluations	wall_hours	field_rel_residual
square__stripe_m005_chi200_loose	stripe, m=5	19	1.656458433813428	0.9375981032276717	1	0.03971623275015089	0.01262829376662736
square__stripe_m005_chi200_loose	stripe, m=5	20	1.656458433813428	0.937650125459211	1	0.03979867107338376	0.01373496865328455
square__stripe_m005_chi200_loose	stripe, m=5	21	1.656458433813428	0.9377124928142703	1	0.03971178968747457	0.01489332387208528
square__stripe_m005_chi200_loose	stripe, m=5	22	1.656458433813428	0.9377486543917143	1	0.04414379994074503	0.01550008281771256
square__stripe_m005_chi200_loose	stripe, m=5	23	1.656458433813428	0.9374804852218109	1	0.04391414026419322	0.009160329847992258
square__stripe_m005_chi200_loose	stripe, m=5	24	1.656458433813428	0.9374673923371937	1	0.04813903192679087	0.008199957120833426
square__stripe_m005_chi200_loose	stripe, m=5	25	1.656458433813428	0.9374132974139017	1	0.0439949627717336	0.004154448283413556
square__stripe_m005_chi200_loose	stripe, m=5	26	1.656458433813428	0.9374048746847231	1	0.0438582741551929	0.003275101329340401
square__stripe_m005_chi200_loose	stripe, m=5	27	1.656458433813428	0.9373972145181654	1	0.04394384503364563	0.002622919439169144
square__stripe_m005_chi200_loose	stripe, m=5	28	1.656458433813428	0.9373655185850517	1	0.04379939529630873	0.0003721360805250772
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	1	1.676492318767691	0.9369936022665585	11	0.282392428583569	0.9971088498177172
square__stripe_pairing_m004_chi200_loose	stripe + d-wave, m=4	2	1.656123803543027	0.9372118435274165	5	0.1397330069541931	0.0738391205865583
