geometry	rung	charge_even	charge_even_centered	charge_odd	spin_even	spin_odd	beta_nn	beta_nn_centered
cubic_unfrustrated	44	-0.01328310237452208	-0.0004853604518269654	-6.896197983323471e-09	5.177715894921775e-15	4.757045451997399e-15	0.04466816099832729	-7.546659436181297e-05
cubic_unfrustrated	45	-0.01192033220876982	0.0008774097139252965	-4.405521136265078e-09	2.103352214621879e-16	-8.974158222097017e-15	0.04407568014792086	-0.0006679474447682451
cubic_unfrustrated	46	-0.01090009932155472	0.001897642601140394	-2.64449818813961e-09	-6.47355433147645e-15	-3.473046503166266e-14	0.04370608637571499	-0.001037541216974122
cubic_unfrustrated	47	-0.0104230668347403	0.002374675087954812	8.541287640703721e-09	-1.272853350497982e-15	-1.09578145168765e-14	0.04363830471168254	-0.001105322881006572
cubic_unfrustrated	48	-0.01060546669242092	0.002192275230274194	8.520895421540442e-09	9.662409761190816e-16	3.328153724835303e-14	0.04390313029441419	-0.0008404972982749143
cubic_unfrustrated	49	-0.011456525150548	0.001341216772147116	6.210248536774043e-09	1.65969668564081e-15	-4.030586628345212e-14	0.04447578612759231	-0.0002678414650967992
cubic_unfrustrated	50	-0.01287177677577662	-7.403485308151228e-05	6.538174467975166e-09	1.074227512498638e-15	3.812054838459034e-16	0.04527686606712431	0.0005332384744351978
cubic_unfrustrated	51	-0.01464318294740491	-0.001845441024709796	3.358056376370766e-10	-1.978452124351548e-15	4.659207047952307e-14	0.04618142909451256	0.001437801501823453
cubic_unfrustrated	52	-0.01648511131780409	-0.003687369395108976	-8.972714481136901e-10	-4.490331717565965e-15	-4.616012433400485e-14	0.04703558412107224	0.002291956528383134
cubic_unfrustrated	53	-0.01807331368957239	-0.005275571766877277	2.117854180222478e-09	-1.398187121637307e-15	5.235568922845601e-14	0.04767867564661658	0.002935048053927469
cubic_unfrustrated	54	-0.01909268885199927	-0.006294946929304161	4.888311790074429e-09	8.610299973010882e-15	-4.776821299623535e-14	0.04796931379256333	0.003225686199874227
cubic_unfrustrated	55	-0.01928844002818342	-0.006490698105488309	5.802612383642991e-10	1.078998002057574e-15	2.334764326317185e-14	0.04780989504162068	0.003066267448931577
cubic_unfrustrated	56	-0.01851397742542264	-0.005716235502727526	-1.487960556850743e-09	-1.29922114733283e-14	-7.434938081862796e-14	0.04715865472801983	0.002415027135330726
cubic_unfrustrated	57	-0.0167676894577667	-0.003969947535071589	7.784865356519344e-10	-2.216976602298359e-15	1.680565409056811e-13	0.04604149642231677	0.001297868829627659
cubic_unfrustrated	58	-0.01420418178714751	-0.001406439864452397	2.41348678022002e-10	1.454999315475547e-15	-1.26476520229124e-13	0.04458578046685414	-0.0001578471258349701
cubic_unfrustrated	59	-0.01110825743460262	0.001689484488092493	1.386706442382812e-09	5.60966204044e-15	5.738508626618177e-14	0.04298972964717671	-0.001753897945512395
cubic_unfrustrated	60	-0.007861325890899421	0.004936416031795692	8.937305982087418e-10	3.540570614468663e-15	-7.731055379212037e-14	0.04140664241626457	-0.003336985176424535
cubic_unfrustrated	61	-0.00490270533304386	0.007895036589651253	6.79065820935465e-10	1.847263661480802e-15	1.412821682561516e-13	0.04012865739721121	-0.004614970195477894
cubic_unfrustrated	62	-0.002619254067004844	0.01017848785569027	3.06562561794288e-10	-1.26179448833863e-15	-6.805233460083215e-14	0.03969556789558829	-0.005048059697100815
cubic_unfrustrated	63	-0.001156135619796485	0.01164160630289863	2.869972586406339e-11	-6.138210599526683e-16	-7.274725526834613e-15	0.03489504935683908	-0.009848578235850024
cubic_unfrustrated	64	-0.0003412141397981166	0.012456527782897	6.490722775876964e-11	-1.312860410662697e-15	2.921805592609461e-14	NaN	NaN
square	1	-0.0001137342535088102	0.004152179720722893	-2.513835984535064e-11	5.607561398730809e-16	4.626617285900109e-14	0.01163167992539207	-0.003282862605504295
square	2	-0.0003853673258623254	0.003880546648369378	-1.115071698713256e-11	-5.891690130557792e-16	-7.965577795889661e-14	0.0132318477930817	-0.001682694737814672
square	3	-0.0008730638881531841	0.00339285008607852	-1.691253902875132e-10	5.494194509070294e-17	1.067123006712883e-13	0.01337620637875593	-0.001538336152140437
square	4	-0.001634207447428297	0.002631706526803407	-6.66661756180964e-11	-9.453158741901113e-16	-8.386152015871229e-14	0.01380219868654037	-0.001112343844355997
square	5	-0.002620407185122989	0.001645506789108714	-7.062434274549001e-11	8.523997480081036e-16	4.162859293388443e-14	0.01432988964003228	-0.0005846528908640923
square	6	-0.00370271378906755	0.0005632001851641534	-1.752991957322536e-10	-1.38669457860896e-15	-2.195661187587294e-14	0.01486190386052344	-5.263867037292973e-05
square	7	-0.004734688912016169	-0.0004687749377844655	3.411423877761055e-10	2.989362229977033e-15	8.191797934431477e-15	0.01534714200976793	0.000432599478871561
square	8	-0.005589195887610985	-0.001323281913379281	1.014746763179641e-10	-1.58944038486375e-15	-2.874003118824575e-15	0.01571952923097546	0.000804986700079096
square	9	-0.006171296597086305	-0.001905382622854602	1.274010918463075e-10	5.702903427273753e-16	7.368237964211488e-16	0.01593661042750684	0.001022067896610471
square	10	-0.006429454650159663	-0.00216354067592796	-5.019576373478662e-10	5.397158414632841e-16	-1.365877896897238e-15	0.01598975048253217	0.001075207951635807
square	11	-0.006364204953723538	-0.002098290979491834	-2.409471072314928e-09	1.028907861688744e-15	-6.26864012087669e-15	0.01589287161906861	0.0009783290881722438
square	12	-0.006024412705338215	-0.001758498731106511	-2.166577742299808e-09	-5.022024462952857e-16	1.563853213593092e-14	0.01567850618790581	0.0007639636570094428
square	13	-0.005495006484245122	-0.001229092510013418	-1.116552529253911e-09	-1.865911938847553e-15	-3.780374450979007e-14	0.01539378593064528	0.000479243399748917
square	14	-0.004881022383185309	-0.000615108408953605	-1.719210428099277e-09	-9.603862843876598e-16	5.405029722405086e-14	0.01509225994943201	0.0001777174185356445
square	15	-0.00429054445532776	-2.463048109605653e-05	-2.206782521909506e-09	-2.239311167051561e-15	-6.447164850598153e-14	0.01482522961178789	-8.931291910847794e-05
square	16	-0.003818787331579285	0.0004471266426524182	-1.974673502404961e-09	-1.830133267155531e-15	4.828949740076638e-14	0.01463434170613709	-0.000280200824759276
square	17	-0.003535097680375144	0.0007308162938565593	-1.064217512508278e-09	2.089582847031313e-15	-3.291605269600817e-14	0.01454606821292136	-0.000368474317975008
square	18	-0.003474296588622454	0.0007916173856092495	-7.182465598838672e-10	3.012997837337217e-16	2.405378413811166e-14	0.01456866158571383	-0.0003458809451825345
square	19	-0.00363330795334961	0.0006326060208820938	8.965136411021035e-10	1.799775606325937e-16	-1.411175863663683e-14	0.01469185955314913	-0.0002226829777472426
square	20	-0.003973390049033606	0.0002925239251980972	1.649728170911857e-09	1.433965793329328e-15	-1.994715156938831e-15	0.01488935426475017	-2.518826614619427e-05
square	21	-0.004427654272415707	-0.0001617402981840032	-5.722138934557974e-10	1.354385353868892e-15	5.006845632538059e-15	0.01512362049186083	0.0002090779609644593
square	22	-0.004912805560444747	-0.0006468915862130435	1.059172177481776e-09	3.703417780775986e-15	1.293735084340053e-14	0.01535240705267895	0.000437864521782582
square	23	-0.005343292890522485	-0.001077378916290781	4.431990581824086e-11	-5.342948306008566e-16	1.058615001214847e-14	0.01553588160052815	0.0006213390696317815
square	24	-0.005645642070418231	-0.001379728096186528	2.01168398432372e-09	6.385950795939621e-16	3.866481787517806e-15	0.01564325396326787	0.0007287114323715031
square	25	-0.005770567340037305	-0.001504653365805601	8.817736037863844e-10	7.463647755390213e-16	1.360023205165817e-15	0.01565775328924821	0.0007432107583518442
square	26	-0.005700776395839021	-0.001434862421607317	-1.405304752774561e-09	-3.021671454717101e-15	-2.059333606418967e-15	0.01557916394448532	0.0006646214135889502
square	27	-0.005453171531058516	-0.001187257556826813	-7.912808303554841e-10	-9.282939000820889e-16	-9.188179730945656e-15	0.015423463780542	0.0005089212496456295
square	28	-0.005075159213313028	-0.0008092452390813243	-2.134062468839987e-09	-1.01351219083945e-15	9.223958402637678e-15	0.01521969920569075	0.000305156674794381
square	29	-0.004635847332028258	-0.0003699333577965539	-3.778968305379743e-09	1.535230276239474e-16	-9.155870506205588e-15	0.01500476073996697	9.021820907059719e-05
square	30	-0.004213785899514627	5.212807471707652e-05	-5.370084737131575e-10	-2.727852665973529e-16	2.008376104312148e-15	0.01481690861701992	-9.763391387645169e-05
square	31	-0.003883417633118859	0.000382496341112845	-2.866513420943587e-09	2.954450920023e-16	-7.729277287649161e-16	0.01468921619152557	-0.000225326339370795
square	32	-0.003702505552298794	0.0005634084219329092	-1.631897226508569e-09	-8.600975834327507e-16	8.149839310356288e-15	0.01464402373629023	-0.0002705187946061369
square	33	-0.003702504150229424	0.0005634098240022796	2.28619388329375e-09	-5.267054153934581e-16	-2.697711845578432e-15	0.01468921370557604	-0.0002253288253203298
square	34	-0.0038834169381609	0.0003824970360708033	2.607865215659491e-09	1.140472265237502e-15	1.110537443255177e-14	0.01481690303987441	-9.763949102195753e-05
square	35	-0.00421378489554905	5.212907868265386e-05	1.905257052819964e-09	1.559299564468652e-15	-1.693849054074104e-14	0.0150047520994159	9.020956851953608e-05
square	36	-0.004635846536299667	-0.0003699325620679633	8.648378632160336e-10	-1.47798440153224e-15	2.633657181227989e-14	0.01521969407908519	0.0003051515481888225
