geometry	block	rank	eigenvalue_real	basis_index	basis_label	coefficient_real	coefficient_imag	weight	cumulative_weight
cubic_frustrated	normal	3	-1.015439070678111	4	spin_odd_m58	0.999998042391012	0	0.9999960847858562	0.9999960847858562
cubic_frustrated	normal	3	-1.015439070678111	2	charge_even_m8	0.001738719737924871	0	3.023146327049533e-06	0.9999991079321833
cubic_frustrated	normal	3	-1.015439070678111	3	charge_even_m9	-0.0008744988258829853	0	7.647481964707198e-07	0.9999998726803797
cubic_frustrated	normal	3	-1.015439070678111	1	charge_even_m7	0.0003562996258004446	0	1.269494233455369e-07	0.999999999629803
cubic_frustrated	normal	3	-1.015439070678111	6	spin_odd_m63	-1.534438900684821e-05	0	2.354502739934841e-10	0.9999999998652533
cubic_frustrated	normal	3	-1.015439070678111	5	spin_odd_m59	-1.14801198593102e-05	0	1.317931519841286e-10	0.9999999999970465
cubic_frustrated	normal	3	-1.015439070678111	7	cov_charge_even_rank1	1.7064320360504e-06	0	2.911910293659114e-12	0.9999999999999584
cubic_frustrated	normal	3	-1.015439070678111	8	cov_charge_odd_rank1	2.031802867759836e-07	0	4.128222893437094e-14	0.9999999999999997
cubic_frustrated	normal	3	-1.015439070678111	9	cov_spin_even_rank1	1.814951649230627e-08	0	3.294049489044975e-16	1
cubic_frustrated	pair	1	24.4730200100419	12	pair_leg_s_q0	0.8158570869854073	0	0.6656227863843144	0.6656227863843144
cubic_frustrated	pair	1	24.4730200100419	11	pair_rung_s_q0	-0.5775099153326944	0	0.3335177023075758	0.9991404886918902
cubic_frustrated	pair	1	24.4730200100419	10	pair_onsite_s_q0	-0.02931742328564775	0	0.0008595113081098411	1
cubic_frustrated	pair	2	0.05332809216226256	12	pair_leg_s_q0	0.7137414360123707	0	0.509426837481001	0.509426837481001
cubic_frustrated	pair	2	0.05332809216226256	11	pair_rung_s_q0	0.6653391918593246	0	0.4426762402240191	0.9521030777050201
cubic_frustrated	pair	2	0.05332809216226256	10	pair_onsite_s_q0	0.2188536549728609	0	0.04789692229498006	1
cubic_frustrated	pair	3	0.01159935268945737	10	pair_onsite_s_q0	0.9844126075772563	0	0.9690681819570534	0.9690681819570534
cubic_frustrated	pair	3	0.01159935268945737	11	pair_rung_s_q0	-0.1371332881070741	-0	0.0188055387070578	0.9878737206641112
cubic_frustrated	pair	3	0.01159935268945737	12	pair_leg_s_q0	-0.1101193867395242	-0	0.01212627933588889	1
cubic_unfrustrated	normal	1	3.563727056095904	5	spin_odd_m59	0.9895626395205113	0	0.9792342175348013	0.9792342175348013
cubic_unfrustrated	normal	1	3.563727056095904	6	spin_odd_m63	0.144101980125685	0	0.02076538067614333	0.9999995982109446
cubic_unfrustrated	normal	1	3.563727056095904	2	charge_even_m8	0.0006314381567168731	0	3.987141457580024e-07	0.9999999969250905
