branch	seed	rung	charge_even	charge_odd	spin_even	spin_odd
square__stripe_m005_chi200_loose	stripe, m=5	21	-0.0001691331715033467	0	0	-0.0002635300805778983
square__stripe_m005_chi200_loose	stripe, m=5	22	-0.0001003656319327492	0	0	0.0004865042554105195
square__stripe_m005_chi200_loose	stripe, m=5	23	-7.894104494082809e-06	0	0	-0.0006793903665663508
square__stripe_m005_chi200_loose	stripe, m=5	24	8.575933657358712e-05	0	0	0.0008302592900340758
square__stripe_m005_chi200_loose	stripe, m=5	25	0.000157784753866891	0	0	-0.0009297804727390552
square__stripe_m005_chi200_loose	stripe, m=5	26	0.0001906398633951664	0	0	0.0009717989845874301
square__stripe_m005_chi200_loose	stripe, m=5	27	0.0001763225780682088	0	0	-0.0009537161727492655
square__stripe_m005_chi200_loose	stripe, m=5	28	0.0001183199708474708	0	0	0.000876650376453851
square__stripe_m005_chi200_loose	stripe, m=5	29	3.075897422848486e-05	0	0	-0.0007453677628219292
square__stripe_m005_chi200_loose	stripe, m=5	30	-6.503433098395894e-05	0	0	0.0005679875612223784
square__stripe_m005_chi200_loose	stripe, m=5	31	-0.0001457288288089877	0	0	-0.0003554799260605793
square__stripe_m005_chi200_loose	stripe, m=5	32	-0.0001916708212809778	0	0	0.0001209874828890216
square__stripe_m005_chi200_loose	stripe, m=5	33	-0.0001916708212809779	0	0	0.0001209874828890204
square__stripe_m005_chi200_loose	stripe, m=5	34	-0.0001457288288089877	0	0	-0.0003554799260605794
square__stripe_m005_chi200_loose	stripe, m=5	35	-6.503433098395948e-05	0	0	0.0005679875612223775
square__stripe_m005_chi200_loose	stripe, m=5	36	3.075897422848486e-05	0	0	-0.0007453677628219295
square__stripe_m005_chi200_loose	stripe, m=5	37	0.0001183199708474705	0	0	0.0008766503764538506
square__stripe_m005_chi200_loose	stripe, m=5	38	0.0001763225780682086	0	0	-0.0009537161727492655
square__stripe_m005_chi200_loose	stripe, m=5	39	0.0001906398633951665	0	0	0.0009717989845874304
square__stripe_m005_chi200_loose	stripe, m=5	40	0.0001577847538668913	0	0	-0.0009297804727390559
square__stripe_m005_chi200_loose	stripe, m=5	41	8.575933657358734e-05	0	0	0.0008302592900340763
square__stripe_m005_chi200_loose	stripe, m=5	42	-7.894104494082809e-06	0	0	-0.000679390366566351
square__stripe_m005_chi200_loose	stripe, m=5	43	-0.0001003656319327488	0	0	0.0004865042554105208
square__stripe_m005_chi200_loose	stripe, m=5	44	-0.0001691331715033466	0	0	-0.0002635300805778991
