geometry	mode_number	q_over_pi	coefficient	absolute_profile_cosine
cubic_frustrated	39	0.6190476190476191	-2.111246858961843e-10	3.063130607264089e-08
cubic_frustrated	40	0.6349206349206349	0.0003948894217558263	0.0572792833367511
cubic_frustrated	41	0.6507936507936508	-2.983563833491851e-10	4.328743298944914e-08
cubic_frustrated	42	0.6666666666666666	0.0003944659886696452	0.05721786375349237
cubic_frustrated	43	0.6825396825396826	3.525658263734069e-10	5.115248219233587e-08
cubic_frustrated	44	0.6984126984126984	0.0003940424230604019	0.05715642494757133
cubic_frustrated	45	0.7142857142857143	-5.239713030979171e-10	7.602107393515437e-08
cubic_frustrated	46	0.7301587301587301	0.0003936591778583996	0.05710083467519746
cubic_frustrated	47	0.746031746031746	1.812498428053711e-10	2.629687466775361e-08
cubic_frustrated	48	0.7619047619047619	0.0003933277865923364	0.05705276589143581
cubic_frustrated	49	0.7777777777777778	3.134720642783416e-11	4.548051168410718e-09
cubic_frustrated	50	0.7936507936507936	0.000393050985678725	0.05701261551747004
cubic_frustrated	51	0.8095238095238095	1.06040457050888e-10	1.53850208418168e-08
cubic_frustrated	52	0.8253968253968254	0.0003928181597447694	0.05697884377808063
cubic_frustrated	53	0.8412698412698413	-5.094772787411346e-12	7.391818872453069e-10
cubic_frustrated	54	0.8571428571428571	0.0003926268946507657	0.05695110049880216
cubic_frustrated	55	0.873015873015873	2.020342295170854e-10	2.931240516348886e-08
cubic_frustrated	56	0.8888888888888888	0.0003924722702391289	0.05692867200364137
cubic_frustrated	57	0.9047619047619048	-1.496595823764661e-10	2.171355970931968e-08
cubic_frustrated	58	0.9206349206349206	0.0003923552085437525	0.05691169203495149
cubic_frustrated	59	0.9365079365079365	1.232121930124701e-10	1.787640502138132e-08
cubic_frustrated	60	0.9523809523809523	0.0003922752637448124	0.05690009592592075
cubic_frustrated	61	0.9682539682539683	2.418700914766158e-10	3.509204418732831e-08
cubic_frustrated	62	0.9841269841269841	0.0003922353525477106	0.05689430674889766
cubic_frustrated	63	1	1.496629936951696e-10	3.047117724606874e-08
cubic_unfrustrated	1	0.01587301587301587	5.883806492408443e-08	8.536598964313764e-06
cubic_unfrustrated	2	0.03174603174603174	0.002619745152711339	0.37999783383668
cubic_unfrustrated	3	0.04761904761904762	-2.075628199860607e-08	3.011452800886843e-06
cubic_unfrustrated	4	0.06349206349206349	0.002866941720470302	0.4158540545011403
cubic_unfrustrated	5	0.07936507936507936	-1.42126499662225e-08	2.06206123770235e-06
cubic_unfrustrated	6	0.09523809523809523	0.003366696436184859	0.4883442008135219
cubic_unfrustrated	7	0.1111111111111111	1.522506824481483e-08	2.208949291172171e-06
cubic_unfrustrated	8	0.126984126984127	0.004998598282633121	0.7250539304002405
cubic_unfrustrated	9	0.1428571428571428	-4.698536621097548e-09	6.816934395440862e-07
cubic_unfrustrated	10	0.1587301587301587	0.000324921976806174	0.04713040397249769
cubic_unfrustrated	11	0.1746031746031746	-1.431949056855995e-08	2.07756234870744e-06
cubic_unfrustrated	12	0.1904761904761905	0.0003135382594600117	0.04547917926154683
cubic_unfrustrated	13	0.2063492063492063	-3.792566194000128e-09	5.502495142386527e-07
cubic_unfrustrated	14	0.2222222222222222	0.0003264129328270871	0.04734666930567577
cubic_unfrustrated	15	0.2380952380952381	-1.21157969191509e-09	1.757836522332522e-07
cubic_unfrustrated	16	0.253968253968254	0.0003458689346959188	0.05016879059393418
cubic_unfrustrated	17	0.2698412698412698	-2.957347855759168e-09	4.290707499640256e-07
cubic_unfrustrated	18	0.2857142857142857	0.000367400855417075	0.05329202692244281
cubic_unfrustrated	19	0.3015873015873016	1.920834698590501e-09	2.786868589148022e-07
cubic_unfrustrated	20	0.3174603174603174	0.0003784013256980901	0.05488766109076802
cubic_unfrustrated	21	0.3333333333333333	-1.2855389974753e-09	1.865141365335506e-07
cubic_unfrustrated	22	0.3492063492063492	0.0003845371890912584	0.05577767697483542
cubic_unfrustrated	23	0.3650793650793651	-1.180623307290595e-09	1.712923039741155e-07
cubic_unfrustrated	24	0.3809523809523809	0.0003882531462618458	0.05631668195170947
cubic_unfrustrated	25	0.3968253968253968	1.228212957193032e-09	1.781969116653481e-07
