t0,V,family,job_id,iteration,energy_per_site,spin_rms,pair_rms,central_spin_rms,charge_std,density,global_relative_residual
1.0,-0.4,stripe,58383141,11,-1.045251160580069,0.3415360344151353,3.627050728194551e-11,0.35325024483086614,0.08263860946227577,0.9375000000020406,1.8225389775856352e-05
1.0,-0.4,stripe,58383141,12,-1.0452511645080687,0.34153608262108187,7.478712768007505e-12,0.3532502470024992,0.0826386407909644,0.9375000000018596,1.821740108777962e-05
1.0,-0.4,stripe,58383141,13,-1.0452511622570928,0.34153613937603605,1.9623083408825154e-12,0.3532502616197213,0.08263868426569075,0.9375000000018132,1.8210609662342654e-05
1.0,-0.4,stripe,58383141,14,-1.0452511636423705,0.3415361919382017,1.203080930975517e-12,0.3532502693759917,0.08263872262259454,0.9375000000018768,1.8206127422994504e-05
1.0,-0.4,stripe,58383141,15,-1.04525116627001,0.34153622975558084,8.108019983662489e-13,0.35325025994054055,0.08263874586968561,0.9375000000017214,1.8210351926235224e-05
1.0,-0.4,stripe,58383141,16,-1.0452511633821517,0.3415362794700978,2.4869014151468562e-12,0.35325025903442386,0.08263877418851993,0.9375000000019913,1.829305579414779e-05
1.0,-0.4,stripe,58383141,17,-1.0452511640707527,0.34153633169504327,1.0602591724271875e-12,0.3532502711532704,0.08263881330248944,0.9375000000016854,1.8246614124835825e-05
1.0,-0.4,stripe,58383141,18,-1.045251163609589,0.3415363868158635,1.0299339210731324e-12,0.35325028147235327,0.08263885917345085,0.9375000000019732,1.8207487037239816e-05
1.0,-0.4,stripe,58383141,19,-1.0452511660546562,0.3415364094248133,1.2898381150220806e-12,0.35325026917467284,0.08263884713243104,0.9374999999887794,1.926175880481474e-05
1.0,-0.4,stripe,58383141,20,-1.0452511638595474,0.3415364597647799,3.9304288524491017e-13,0.3532502764469936,0.08263888784752092,0.9375000000012921,1.8880659546391835e-05
1.0,-0.4,stripe,58383141,21,-1.0452511633294566,0.34153650613164194,2.0701032610705515e-11,0.3532502745282164,0.08263891768777122,0.9375000000010675,1.8907186601275915e-05
1.0,-0.4,stripe,58383141,22,-1.0452511604779788,0.341536569003616,1.6610229589695518e-12,0.3532502954859211,0.08263896607800354,0.9375000000015021,1.8899698525709487e-05
1.0,-0.4,stripe,58383141,23,-1.0452511633705943,0.3415366181164663,2.13714265910194e-12,0.3532502975948336,0.08263899929051431,0.93750000000139,1.884445362329576e-05
1.0,-0.4,stripe,58383141,24,-1.0452511648920084,0.3415366589275239,3.733823404914464e-13,0.3532502873595826,0.08263902486505677,0.9375000000022532,1.8935489208329033e-05
1.0,-0.4,stripe,58383141,25,-1.045251162822649,0.3415367104046103,1.0927988323234511e-12,0.35325029228738747,0.0826390620509872,0.9375000000014159,1.8865104339301115e-05
1.0,-0.4,stripe,58383141,26,-1.0452511620181262,0.3415367691190844,2.5637699746637703e-13,0.3532503089655667,0.08263910774974102,0.9375000000016667,1.8858896147414686e-05
1.0,-0.4,stripe,58383141,27,-1.045251164638276,0.3415368118229966,9.833285229185859e-12,0.3532503036661411,0.08263912879736572,0.9375000000016412,1.8925693304656892e-05
1.0,-0.4,stripe,58383141,28,-1.0452511613554127,0.3415368692349459,1.9597725424496784e-11,0.353250310447054,0.08263917507793227,0.937500000001809,1.889309019543376e-05
1.0,-0.4,stripe,58383141,29,-1.0452511642279905,0.3415369146494791,2.4192974122980368e-12,0.3532503098701376,0.0826392073538548,0.9375000000023629,1.887237818891437e-05
1.0,-0.4,stripe,58383141,30,-1.0452511620300484,0.34153697235612707,4.67500072656764e-12,0.35325031787882505,0.0826392500317604,0.9375000000023073,1.886172484178967e-05
1.0,-0.4,stripe,58383141,31,-1.0452511618696827,0.34153702764688076,4.538581863050648e-13,0.3532503267648896,0.08263928791519255,0.9375000000017454,1.886936083891539e-05
1.0,-0.4,stripe,58383141,32,-1.0452511624652534,0.34153708568354085,2.1235073888234973e-12,0.3532503415650745,0.08263933233225172,0.9375000000020207,1.886235739350405e-05
1.0,-0.4,stripe,58383141,33,-1.0452511640131246,0.3415371301208463,1.933801242396429e-12,0.3532503353395622,0.08263936004440942,0.9375000000022381,1.8883313232690327e-05
1.0,-0.4,stripe,58383141,34,-1.0452511649196463,0.3415371727715592,1.9050416618462265e-13,0.3532503320535117,0.08263939058999589,0.9375000000015163,1.886593793510387e-05
1.0,-0.4,stripe,58383141,35,-1.0452511607685446,0.34153723502363126,8.456335095061054e-13,0.3532503498205922,0.08263943628185005,0.9375000000014336,1.8872599045428623e-05
1.0,-0.4,stripe,58383141,36,-1.0452511632232977,0.34153728550051693,5.5776849560370676e-12,0.3532503512246542,0.08263946999616865,0.9375000000022967,1.8847469789918394e-05
