lineage,role,rung,charge_even,charge_odd,spin_even,spin_odd,pair_onsite_even,pair_onsite_odd,pair_rung,pair_leg_even,pair_leg_odd,pair_extended_s,pair_d,density,staggered_spin_odd
pairing,chi400_endpoint,48,-0.0045557164022270915,6.185842711756845e-09,7.505311062309256e-10,-7.478907226075946e-07,-0.00022246985608096983,-9.780857097954924e-10,0.0,0.00437163750332346,1.1665230603089688e-08,0.00437163750332346,0.00437163750332346,0.9332415655706425,-5.479710473321742e-06
pairing,chi400_endpoint,49,-0.004516657775210868,6.174491517466768e-09,-2.517805853131244e-10,8.629402030696075e-07,-0.0002195678685495145,7.145319823830248e-10,0.0,0.0043158988291746555,9.79594063981945e-09,0.0043158988291746555,0.0043158988291746555,0.9338139218282201,-6.3226649638370436e-06
pairing,chi400_endpoint,50,-0.004513571422948259,2.134066162933629e-09,-2.4126592878485204e-09,-9.369917205596153e-07,-0.0002161575831385267,-2.4182655583961446e-09,0.0,0.004250533251056572,7.875285796101264e-09,0.004250533251056572,0.004250533251056572,0.933859148533958,-6.865232031041946e-06
pairing,chi400_endpoint,51,-0.004566083293253672,-2.740687595707142e-09,-3.4310101073176807e-09,9.534350636278537e-07,-0.00021290520610790965,-4.937826929187882e-09,0.0,0.004188302042201701,9.233856695977163e-09,0.004188302042201701,0.004188302042201701,0.9330896515018705,-6.985710540141632e-06
pairing,chi400_endpoint,52,-0.004685521025335523,-2.504124328034374e-09,-5.705851518914354e-09,-8.975850681206075e-07,-0.00021068084171921964,-5.358309048227776e-09,0.0,0.004146466565999653,-5.845305251113431e-11,0.004146466565999653,0.004146466565999653,0.9313394380773299,-6.576503959465629e-06
pairing,chi400_endpoint,53,-0.004867455218429488,-1.98806750792771e-09,-1.698835680420327e-09,7.558152535361903e-07,-0.00021044057480369303,-3.0438281920316555e-09,0.0,0.004143056505752031,1.2801441619638212e-08,0.004143056505752031,0.004143056505752031,0.92867341569407,-5.537772612362879e-06
pairing,chi400_endpoint,54,-0.0050855167758107975,5.222954817338948e-09,-2.1539878127668777e-09,-5.16803291522594e-07,-0.0002128842069517376,3.319054368638389e-10,0.0,0.00419126953677957,6.380736239071719e-09,0.00419126953677957,0.00419126953677957,0.9254779911121344,-3.786559083562846e-06
pairing,chi400_endpoint,55,-0.005288415851103524,1.5245440170702507e-09,-1.2532681186241956e-10,1.821554444060916e-07,-0.00021810715395212757,1.1436107596795924e-09,0.0,0.004292653848838822,2.7485733916730176e-08,0.004292653848838822,0.004292653848838822,0.9225047541022351,-1.3346322748908346e-06
pairing,chi400_endpoint,56,-0.005401855796265277,-8.822745561042067e-09,-5.782367390894799e-10,2.461610848060545e-07,-0.00022522982628407834,-4.3675801894804646e-09,0.0,0.004429811347452259,-2.4077523334484208e-09,0.004429811347452259,0.004429811347452259,0.9208424308862754,1.8035943404048904e-06
pairing,chi400_endpoint,57,-0.005337021565137276,-9.369830924598616e-09,-7.051183113955528e-10,-7.568960745797486e-07,-0.00023203729427755283,-5.785156619744314e-09,0.0,0.004560753752927823,1.656332627606935e-08,0.004560753752927823,0.004560753752927823,0.921792496997814,5.545691665526098e-06
pairing,chi400_endpoint,58,-0.005008077157348571,-3.5621840100037716e-09,-3.781805302293176e-09,1.3174539187125415e-06,-0.00023468229109777414,2.3638266143072946e-09,0.0,0.004619193643179337,-4.05689596066211e-09,0.004619193643179337,0.004619193643179337,0.9266127737094044,9.652835391935066e-06
pairing,chi400_endpoint,59,-0.004362040310127473,-1.7238357403852322e-09,-2.910801877743091e-09,-1.8697695538002872e-06,-0.0002290220545468762,2.6368940208302194e-09,0.0,0.004519277277489322,1.6723586942135257e-08,0.004519277277489322,0.004519277277489322,0.9360796510775995,1.3699589387780597e-05
